Date,Open,High,Low,Close,Volume
2014-10-27,0.6214,0.6216,0.6193,0.6214,0
2014-10-28,0.6201,0.6215,0.6179,0.6202,0
2014-10-29,0.6195,0.6209,0.6188,0.6195,0
2014-10-30,0.6249,0.6263,0.6239,0.6248,0
2014-10-31,0.625,0.6269,0.6246,0.625,0
2014-11-03,0.6261,0.6277,0.6243,0.626,0
2014-11-04,0.6259,0.6263,0.6245,0.6258,0
2014-11-05,0.6248,0.6298,0.6241,0.6248,0
2014-11-06,0.6264,0.6293,0.625,0.6264,0
2014-11-07,0.6312,0.633,0.6308,0.6313,0
2014-11-10,0.6296,0.6302,0.6282,0.6295,0
2014-11-11,0.6309,0.6314,0.6298,0.6308,0
2014-11-12,0.6279,0.6328,0.6273,0.6279,0
2014-11-13,0.6341,0.6358,0.6337,0.6342,0
2014-11-14,0.6368,0.6411,0.6366,0.6368,0
2014-11-17,0.6382,0.64,0.6355,0.6383,0
2014-11-18,0.6394,0.6398,0.6378,0.6393,0
2014-11-19,0.6398,0.6412,0.6371,0.6399,0
2014-11-20,0.638,0.6396,0.6355,0.638,0
2014-11-21,0.6372,0.6398,0.6364,0.6371,0
2014-11-24,0.6391,0.6398,0.6368,0.639,0
2014-11-25,0.6369,0.6389,0.6361,0.6371,0
2014-11-26,0.6361,0.6376,0.6328,0.6361,0
2014-11-27,0.6333,0.6359,0.6322,0.6334,0
2014-11-28,0.6359,0.6395,0.6357,0.6359,0
2014-12-01,0.6403,0.6414,0.6344,0.6405,0
2014-12-02,0.6356,0.6394,0.6352,0.6356,0
2014-12-03,0.6391,0.6402,0.6364,0.6391,0
2014-12-04,0.6374,0.6391,0.6365,0.6372,0
2014-12-05,0.6378,0.6418,0.6371,0.6378,0
2014-12-08,0.6423,0.6433,0.6394,0.6424,0
2014-12-09,0.6389,0.6398,0.6369,0.6389,0
2014-12-10,0.6376,0.639,0.6361,0.6374,0
2014-12-11,0.635,0.6387,0.6346,0.635,0
2014-12-12,0.6362,0.637,0.6352,0.636,0
2014-12-15,0.6358,0.6405,0.635,0.6358,0
2014-12-16,0.6395,0.6401,0.6339,0.6392,0
2014-12-17,0.6352,0.6389,0.6351,0.6351,0
2014-12-18,0.6421,0.6429,0.6382,0.6421,0
2014-12-19,0.6382,0.6403,0.6376,0.6382,0
2014-12-22,0.6398,0.6409,0.6383,0.6398,0
2014-12-23,0.6418,0.6456,0.6409,0.6419,0
2014-12-24,0.6443,0.6449,0.6428,0.6442,0
2014-12-25,0.6426,0.6433,0.6417,0.6426,0
2014-12-26,0.6426,0.6435,0.6423,0.6426,0
2014-12-29,0.643,0.6441,0.6415,0.6429,0
2014-12-30,0.6445,0.6451,0.6422,0.6445,0
2014-12-31,0.6424,0.643,0.6402,0.6423,0
2015-01-01,0.6418,0.6418,0.6418,0.6418,0
2015-01-02,0.6418,0.6499,0.6417,0.6419,0
2015-01-05,0.6542,0.6576,0.6527,0.6542,0
2015-01-06,0.6554,0.6597,0.6547,0.6554,0
2015-01-07,0.6607,0.6637,0.6598,0.6606,0
2015-01-08,0.6619,0.6651,0.6614,0.6619,0
2015-01-09,0.6628,0.6629,0.6592,0.6628,0
2015-01-12,0.6582,0.6621,0.6582,0.6583,0
2015-01-13,0.659,0.6631,0.6582,0.6592,0
2015-01-14,0.6592,0.6602,0.655,0.6592,0
2015-01-15,0.6564,0.6591,0.655,0.6564,0
2015-01-16,0.6586,0.6626,0.6564,0.6587,0
2015-01-19,0.6603,0.6614,0.6588,0.6604,0
2015-01-20,0.6626,0.664,0.6579,0.6627,0
2015-01-21,0.6602,0.6629,0.6588,0.6602,0
2015-01-22,0.6602,0.6635,0.6573,0.6603,0
2015-01-23,0.6664,0.6687,0.6655,0.6661,0
2015-01-26,0.6666,0.667,0.6635,0.6668,0
2015-01-27,0.6628,0.6638,0.6569,0.6629,0
2015-01-28,0.6584,0.6598,0.6571,0.6584,0
2015-01-29,0.6605,0.663,0.6596,0.6604,0
2015-01-30,0.6631,0.6669,0.6625,0.6632,0
2015-02-02,0.6629,0.6663,0.6627,0.6628,0
2015-02-03,0.6654,0.667,0.6615,0.6654,0
2015-02-04,0.6603,0.6603,0.6557,0.6604,0
2015-02-05,0.6588,0.6591,0.6531,0.6588,0
2015-02-06,0.6527,0.6561,0.6514,0.6525,0
2015-02-09,0.6562,0.6576,0.655,0.6562,0
2015-02-10,0.6572,0.6578,0.6556,0.6572,0
2015-02-11,0.6553,0.6564,0.6536,0.6552,0
2015-02-12,0.6562,0.6571,0.6499,0.6561,0
2015-02-13,0.6497,0.6505,0.6484,0.6497,0
2015-02-16,0.6492,0.6506,0.6475,0.6493,0
2015-02-17,0.6512,0.6528,0.6493,0.6512,0
2015-02-18,0.6514,0.6517,0.6472,0.6513,0
2015-02-19,0.6479,0.649,0.6465,0.6477,0
2015-02-20,0.6484,0.6516,0.6479,0.6485,0
2015-02-23,0.6499,0.6521,0.6472,0.6498,0
2015-02-24,0.6471,0.649,0.6466,0.6471,0
2015-02-25,0.647,0.647,0.6436,0.6469,0
2015-02-26,0.644,0.6494,0.6429,0.644,0
2015-02-27,0.6486,0.6499,0.647,0.6486,0
2015-03-02,0.6491,0.6513,0.6484,0.6491,0
2015-03-03,0.651,0.6516,0.6494,0.6511,0
2015-03-04,0.6507,0.6552,0.6505,0.6508,0
2015-03-05,0.6551,0.6568,0.655,0.6551,0
2015-03-06,0.6558,0.664,0.6556,0.6558,0
2015-03-09,0.6641,0.6644,0.6611,0.6641,0
2015-03-10,0.6619,0.665,0.6619,0.662,0
2015-03-11,0.6633,0.6696,0.6624,0.663,0
2015-03-12,0.6695,0.6713,0.6654,0.6697,0
2015-03-13,0.6715,0.6796,0.6714,0.6714,0
2015-03-16,0.6777,0.678,0.6748,0.6777,0
2015-03-17,0.6745,0.6789,0.6736,0.6745,0
2015-03-18,0.6779,0.6832,0.677,0.6779,0
2015-03-19,0.6684,0.6788,0.6662,0.6684,0
2015-03-20,0.6773,0.6791,0.6701,0.6774,0
2015-03-23,0.6691,0.6737,0.6685,0.6692,0
2015-03-24,0.6686,0.6731,0.6674,0.6688,0
2015-03-25,0.674,0.674,0.6687,0.6741,0
2015-03-26,0.6722,0.675,0.667,0.6722,0
2015-03-27,0.6731,0.6757,0.6701,0.673,0
2015-03-30,0.6718,0.6774,0.6718,0.6718,0
2015-03-31,0.6752,0.6776,0.6726,0.6753,0
2015-04-01,0.6741,0.6781,0.6724,0.6743,0
2015-04-02,0.6741,0.6765,0.6725,0.674,0
2015-04-03,0.6743,0.6751,0.6691,0.6743,0
2015-04-06,0.6701,0.671,0.6675,0.6698,0
2015-04-07,0.6716,0.6742,0.6703,0.6716,0
2015-04-08,0.6747,0.6747,0.668,0.6746,0
2015-04-09,0.6722,0.6789,0.6718,0.6721,0
2015-04-10,0.6795,0.6854,0.6791,0.6796,0
2015-04-13,0.683,0.6862,0.6815,0.683,0
2015-04-14,0.6816,0.6846,0.6755,0.6818,0
2015-04-15,0.6769,0.68,0.6753,0.677,0
2015-04-16,0.6744,0.675,0.6694,0.6744,0
2015-04-17,0.6697,0.6703,0.6643,0.6702,0
2015-04-20,0.6682,0.6715,0.6674,0.6681,0
2015-04-21,0.6707,0.673,0.6687,0.6707,0
2015-04-22,0.6697,0.6704,0.6631,0.6695,0
2015-04-23,0.6652,0.6682,0.664,0.665,0
2015-04-24,0.6644,0.6653,0.6586,0.6644,0
2015-04-27,0.659,0.6618,0.6562,0.6589,0
2015-04-28,0.6568,0.6586,0.652,0.6569,0
2015-04-29,0.6521,0.6524,0.6457,0.6521,0
2015-04-30,0.6483,0.6525,0.6454,0.6482,0
2015-05-01,0.6512,0.6611,0.6495,0.6513,0
2015-05-04,0.6598,0.6626,0.6589,0.6602,0
2015-05-05,0.6613,0.6625,0.6575,0.6612,0
2015-05-06,0.6592,0.6598,0.654,0.659,0
2015-05-07,0.6562,0.6593,0.6556,0.6561,0
2015-05-08,0.6495,0.6511,0.6442,0.649,0
2015-05-11,0.6477,0.6494,0.6412,0.6479,0
2015-05-12,0.6419,0.6427,0.6366,0.642,0
2015-05-13,0.6382,0.6396,0.6344,0.6381,0
2015-05-14,0.6354,0.6357,0.6324,0.6353,0
2015-05-15,0.634,0.6367,0.6326,0.634,0
2015-05-18,0.6354,0.6388,0.6354,0.6351,0
2015-05-19,0.6384,0.647,0.6381,0.6384,0
2015-05-20,0.6445,0.6461,0.6414,0.6445,0
2015-05-21,0.6434,0.644,0.6369,0.6434,0
2015-05-22,0.6385,0.6457,0.6373,0.6384,0
2015-05-25,0.6461,0.6469,0.6448,0.6462,0
2015-05-26,0.6463,0.6512,0.6463,0.6463,0
2015-05-27,0.6495,0.6533,0.6478,0.6494,0
2015-05-28,0.6515,0.6551,0.6499,0.6515,0
2015-05-29,0.6528,0.6561,0.6518,0.6528,0
2015-06-01,0.6541,0.659,0.6533,0.6541,0
2015-06-02,0.658,0.6586,0.6518,0.6579,0
2015-06-03,0.6521,0.6555,0.6504,0.6519,0
2015-06-04,0.6525,0.6533,0.6476,0.6525,0
2015-06-05,0.6509,0.6578,0.6506,0.6508,0
2015-06-08,0.6551,0.6569,0.6533,0.655,0
2015-06-09,0.6517,0.6553,0.6498,0.6516,0
2015-06-10,0.6499,0.6506,0.6429,0.6496,0
2015-06-11,0.6452,0.648,0.6443,0.6453,0
2015-06-12,0.6444,0.6465,0.6411,0.6448,0
2015-06-15,0.6426,0.6456,0.6424,0.6426,0
2015-06-16,0.6411,0.6433,0.639,0.6412,0
2015-06-17,0.6393,0.6398,0.6347,0.6394,0
2015-06-18,0.631,0.6325,0.6277,0.631,0
2015-06-19,0.6297,0.6314,0.629,0.6298,0
2015-06-22,0.63,0.6326,0.6285,0.6295,0
2015-06-23,0.6318,0.6359,0.6317,0.6317,0
2015-06-24,0.6354,0.6379,0.6327,0.6353,0
2015-06-25,0.6367,0.6377,0.6341,0.6365,0
2015-06-26,0.635,0.6364,0.6343,0.6351,0
2015-06-29,0.6371,0.6375,0.6334,0.6372,0
2015-06-30,0.6357,0.637,0.6339,0.6356,0
2015-07-01,0.6374,0.6404,0.6362,0.6375,0
2015-07-02,0.6408,0.6424,0.6395,0.6408,0
2015-07-03,0.6406,0.6423,0.6392,0.6405,0
2015-07-06,0.6429,0.6437,0.64,0.6428,0
2015-07-07,0.641,0.6486,0.6408,0.6409,0
2015-07-08,0.6468,0.6519,0.6464,0.6467,0
2015-07-09,0.6507,0.651,0.6485,0.6506,0
2015-07-10,0.6506,0.6507,0.643,0.6504,0
2015-07-13,0.6444,0.6453,0.6414,0.6445,0
2015-07-14,0.646,0.6471,0.6401,0.6459,0
2015-07-15,0.6395,0.6418,0.638,0.6395,0
2015-07-16,0.64,0.6425,0.6389,0.6396,0
2015-07-17,0.6405,0.6426,0.6381,0.6405,0
2015-07-20,0.6408,0.6435,0.6398,0.641,0
2015-07-21,0.6422,0.6438,0.6413,0.6421,0
2015-07-22,0.6428,0.6429,0.6392,0.6428,0
2015-07-23,0.6404,0.6444,0.6381,0.6405,0
2015-07-24,0.6442,0.6464,0.644,0.6443,0
2015-07-27,0.6442,0.6454,0.6412,0.6442,0
2015-07-28,0.6425,0.6438,0.6403,0.6425,0
2015-07-29,0.6406,0.6414,0.6374,0.6406,0
2015-07-30,0.641,0.6418,0.6394,0.6409,0
2015-07-31,0.6408,0.6429,0.6379,0.6409,0
2015-08-03,0.6401,0.6423,0.6391,0.6399,0
2015-08-04,0.6414,0.6424,0.6398,0.6414,0
2015-08-05,0.6424,0.6439,0.639,0.6423,0
2015-08-06,0.6408,0.6463,0.6395,0.6408,0
2015-08-07,0.6446,0.6482,0.6435,0.6446,0
2015-08-10,0.6455,0.6468,0.6431,0.6454,0
2015-08-11,0.6415,0.6428,0.6404,0.6416,0
2015-08-12,0.6416,0.6436,0.6385,0.6417,0
2015-08-13,0.6405,0.6419,0.6395,0.6404,0
2015-08-14,0.6404,0.6413,0.6386,0.6403,0
2015-08-17,0.639,0.6418,0.6374,0.6389,0
2015-08-18,0.6416,0.6425,0.6362,0.6416,0
2015-08-19,0.6383,0.6395,0.637,0.6384,0
2015-08-20,0.6375,0.6406,0.6368,0.6376,0
2015-08-21,0.6374,0.6384,0.6359,0.6373,0
2015-08-24,0.6383,0.6397,0.6327,0.6378,0
2015-08-25,0.6344,0.6375,0.6322,0.6344,0
2015-08-26,0.6368,0.6459,0.6361,0.6371,0
2015-08-27,0.646,0.6503,0.6447,0.6459,0
2015-08-28,0.6489,0.6519,0.6474,0.6488,0
2015-08-31,0.6486,0.6511,0.6476,0.6486,0
2015-09-01,0.6508,0.6534,0.649,0.6509,0
2015-09-02,0.6535,0.6549,0.6527,0.6534,0
2015-09-03,0.6533,0.6569,0.6529,0.6532,0
2015-09-04,0.6553,0.6592,0.6553,0.6552,0
2015-09-07,0.6582,0.659,0.654,0.6579,0
2015-09-08,0.6547,0.6547,0.6487,0.6543,0
2015-09-09,0.6494,0.6514,0.6491,0.6493,0
2015-09-10,0.651,0.6517,0.6461,0.6511,0
