Date,Open,High,Low,Close,Volume
2014-10-30,4532.1,4575.5,4521.79,4566.14,2034960000
2014-10-31,4639.45,4641.51,4616.58,4630.74,2424360000
2014-11-03,4633.71,4654.19,4627.42,4638.91,2033000000
2014-11-04,4623.77,4635.95,4594.92,4623.64,1939320000
2014-11-05,4649.47,4650.39,4607.73,4620.72,2001870000
2014-11-06,4616.78,4639.17,4604.76,4638.47,1986820000
2014-11-07,4636.89,4638.8,4606.81,4632.53,1978830000
2014-11-10,4635.1,4653.38,4626.49,4651.62,1830010000
2014-11-11,4649.19,4661.23,4640.24,4660.56,1663690000
2014-11-12,4644.63,4678.58,4643.78,4675.14,1773060000
2014-11-13,4681.56,4703.1,4664.27,4680.14,1857580000
2014-11-14,4679.85,4688.74,4664.31,4688.54,1739950000
2014-11-17,4678.44,4689.53,4655.2,4671.0,1695070000
2014-11-18,4674.84,4709.83,4674.3,4702.44,1655760000
2014-11-19,4694.78,4696.2,4655.72,4675.71,1641560000
2014-11-20,4655.2,4702.97,4653.33,4701.87,1667330000
2014-11-21,4751.01,4751.6,4700.73,4712.97,1854340000
2014-11-24,4725.17,4755.02,4723.62,4754.89,1568130000
2014-11-25,4762.39,4774.52,4749.92,4758.25,1720140000
2014-11-26,4760.23,4788.0,4757.48,4787.32,1362930000
2014-11-28,4797.1,4810.86,4786.72,4791.63,998600000
2014-12-01,4777.73,4782.07,4724.62,4727.35,1893600000
2014-12-02,4732.97,4761.63,4729.76,4755.81,1839170000
2014-12-03,4761.31,4781.37,4745.14,4774.47,1734510000
2014-12-04,4772.0,4785.41,4753.71,4769.44,1724090000
2014-12-05,4776.58,4788.98,4769.64,4780.76,1767100000
2014-12-08,4769.76,4793.24,4722.91,4740.69,1966770000
2014-12-09,4685.2,4768.41,4674.38,4766.47,1950330000
2014-12-10,4754.42,4766.64,4679.25,4684.02,1850810000
2014-12-11,4704.65,4759.88,4699.43,4708.16,1873050000
2014-12-12,4665.35,4707.92,4653.6,4653.6,1888870000
2014-12-15,4679.67,4690.58,4592.43,4605.16,2143610000
