Date,Open,High,Low,Close,Volume
2014-10-30,10626.14,10739.49,10605.9,10712.19,3586150000
2014-10-31,10772.93,10846.09,10772.93,10845.0,4292290000
2014-11-03,10834.4,10851.58,10790.21,10808.67,3555440000
2014-11-04,10781.06,10781.62,10704.56,10758.07,3956260000
2014-11-05,10804.04,10824.89,10777.52,10824.07,3766590000
2014-11-06,10824.07,10844.57,10773.81,10843.54,3669770000
2014-11-07,10837.84,10870.9,10819.04,10864.58,3704280000
2014-11-10,10876.91,10898.16,10862.02,10892.56,3284940000
2014-11-11,10892.54,10911.88,10876.66,10907.53,2958320000
2014-11-12,10907.53,10907.53,10851.55,10884.03,3246650000
2014-11-13,10884.1,10911.89,10827.87,10868.92,3455270000
2014-11-14,10861.47,10883.56,10850.76,10880.63,3227130000
2014-11-17,10859.81,10895.36,10847.01,10883.25,3152890000
2014-11-18,10896.63,10963.79,10896.63,10941.7,3416190000
2014-11-19,10938.56,10948.0,10885.47,10927.48,3390850000
2014-11-20,10888.09,10941.77,10879.3,10937.97,3128290000
2014-11-21,10937.97,11063.79,10937.97,11025.74,3916420000
2014-11-24,11038.85,11061.44,11023.55,11041.42,3128060000
2014-11-25,11053.26,11068.27,11013.01,11029.37,3392940000
2014-11-26,11036.81,11049.31,11022.88,11047.91,2745260000
2014-11-28,10993.08,11000.5,10945.73,10955.41,2504640000
2014-12-01,10933.11,10933.11,10864.08,10888.56,4159010000
2014-12-02,10888.44,10950.46,10888.04,10940.12,3686650000
2014-12-03,10942.7,10996.67,10933.01,10987.3,3612680000
2014-12-04,10966.93,10980.13,10908.58,10952.3,3408340000
2014-12-05,10957.4,10992.64,10949.17,10970.26,3419620000
2014-12-08,10941.62,10946.4,10835.12,10863.54,3800990000
2014-12-09,10863.56,10863.56,10742.73,10821.2,3970150000
2014-12-10,10816.77,10816.77,10649.12,10662.24,4114440000
2014-12-11,10671.07,10786.42,10671.07,10690.14,3917950000
2014-12-12,10690.14,10690.14,10500.5,10500.51,4157650000
2014-12-15,10535.52,10571.47,10373.8,10411.18,4361990000
2014-12-16,10386.11,10583.69,10360.03,10390.02,4958680000
2014-12-17,10411.54,10614.57,10411.53,10603.51,4942370000
2014-12-18,10709.54,10831.64,10692.38,10831.62,4703380000
2014-12-19,10835.33,10919.51,10825.67,10890.24,6465530000
2014-12-22,10890.25,10921.31,10879.23,10919.99,3369520000
2014-12-23,10935.73,10971.98,10934.9,10951.76,3043950000
2014-12-24,10962.23,10979.75,10949.49,10955.11,1416980000
2014-12-26,10975.29,11008.54,10975.29,10985.4,1735230000
2014-12-29,10974.88,11007.82,10962.61,10988.01,2452360000
2014-12-30,10963.54,10963.54,10931.55,10932.99,2440280000
2014-12-31,10941.68,10948.6,10834.26,10839.24,2606070000
2015-01-02,10859.8,10889.25,10770.51,10830.92,2708700000
2015-01-05,10764.37,10764.37,10588.05,10607.68,3799120000
2015-01-06,10610.78,10647.21,10457.89,10514.87,4460110000
2015-01-07,10514.48,10638.74,10514.48,10627.13,3805480000
2015-01-08,10686.0,10809.46,10686.0,10800.54,3934010000
2015-01-09,10811.82,10811.82,10680.53,10711.41,3364140000
2015-01-12,10712.65,10717.02,10597.4,10640.74,3456460000
2015-01-13,10640.74,10773.28,10543.49,10622.96,4107300000
2015-01-14,10622.57,10622.57,10442.8,10565.42,4378680000
2015-01-15,10606.63,10636.68,10511.05,10514.6,4276720000
2015-01-16,10508.62,10664.53,10503.35,10660.32,4056410000
2015-01-20,10682.0,10703.18,10589.46,10658.62,3944340000
2015-01-21,10646.0,10735.65,10616.99,10720.4,3730070000
2015-01-22,10753.58,10869.0,10699.73,10859.35,4176050000
2015-01-23,10854.23,10854.23,10784.57,10788.33,3573560000
2015-01-26,10787.3,10848.04,10748.73,10847.15,3465760000
2015-01-27,10793.04,10830.2,10718.85,10781.83,3329810000
2015-01-28,10797.23,10804.17,10596.88,10603.86,4067530000
2015-01-29,10617.89,10703.12,10546.75,10691.63,4127140000
2015-01-30,10636.04,10670.18,10532.55,10537.22,4568650000
2015-02-02,10567.96,10676.44,10495.71,10669.03,4008330000
2015-02-03,10721.57,10847.44,10721.57,10847.41,4615900000
2015-02-04,10803.49,10843.85,10753.98,10775.04,4141920000
2015-02-05,10821.35,10901.22,10820.57,10896.06,3821990000
2015-02-06,10903.29,10931.76,10820.83,10847.51,4232970000
2015-02-09,10831.04,10862.88,10803.97,10826.59,3549540000
2015-02-10,10860.71,10924.65,10811.27,10915.14,3669850000
2015-02-11,10883.91,10907.81,10831.52,10889.05,3596860000
2015-02-12,10924.19,10997.12,10924.19,10995.31,3788350000
2015-02-13,11009.87,11045.93,11000.78,11042.69,3527450000
2015-02-17,11042.78,11070.07,11001.03,11054.47,3361750000
2015-02-18,11054.47,11064.13,11018.97,11064.09,3370020000
2015-02-19,11027.0,11064.62,11010.15,11038.26,3247100000
2015-02-20,11025.27,11111.41,10976.29,11108.67,3281600000
2015-02-23,11091.47,11091.47,11047.21,11074.58,3093680000
2015-02-24,11082.13,11133.78,11070.57,11122.11,3199840000
2015-02-25,11119.64,11142.56,11097.79,11117.93,3312340000
2015-02-26,11111.84,11111.84,11053.86,11082.1,3408690000
2015-02-27,11078.54,11100.24,11062.12,11062.79,3547380000
2015-03-02,11053.66,11103.34,11052.29,11102.82,3409490000
2015-03-03,11090.77,11090.77,11012.66,11051.22,3262300000
2015-03-04,11018.8,11018.8,10941.14,11004.68,3421110000
2015-03-05,11014.7,11036.2,10992.17,11014.26,3103030000
2015-03-06,10964.23,10964.23,10826.45,10842.17,3853570000
2015-03-09,10846.05,10885.08,10845.98,10866.62,3349090000
2015-03-10,10802.5,10802.5,10678.39,10678.41,3668900000
2015-03-11,10686.65,10705.97,10659.03,10678.76,3406570000
2015-03-12,10734.71,10821.24,10734.71,10820.87,3405860000
2015-03-13,10784.09,10784.09,10677.59,10751.02,3498560000
2015-03-16,10787.47,10883.78,10787.47,10881.18,3295600000
2015-03-17,10843.68,10879.08,10808.92,10862.43,3221840000
2015-03-18,10846.43,11055.01,10826.04,11019.72,4128210000
2015-03-19,10976.83,10976.83,10908.01,10931.36,3305220000
2015-03-20,10932.5,11094.27,10932.5,11070.53,5554120000
2015-03-23,11089.66,11115.58,11070.54,11070.89,3267960000
2015-03-24,11071.95,11080.66,11019.75,11019.75,3189820000
2015-03-25,11036.94,11057.05,10897.18,10897.51,3521140000
2015-03-26,10877.19,10911.15,10815.96,10865.15,3510670000
2015-03-27,10860.65,10877.66,10838.57,10875.14,3008550000
2015-03-30,10919.05,11009.01,10919.05,10989.16,2917690000
2015-03-31,10914.05,10955.34,10890.8,10899.19,3376550000
2015-04-01,10906.13,10909.02,10834.02,10891.61,3543270000
2015-04-02,10897.66,10974.98,10895.31,10953.16,3095960000
2015-04-06,10936.84,11068.63,10927.02,11033.12,3302970000
2015-04-07,11042.0,11082.15,11012.11,11013.24,3065510000
2015-04-08,11038.52,11073.67,10995.28,11032.99,3265330000
2015-04-09,11028.75,11072.92,10993.27,11065.39,3172360000
2015-04-10,11077.74,11114.51,11075.6,11112.68,3156200000
2015-04-13,11110.18,11123.62,11056.37,11056.76,2908420000
2015-04-14,11078.76,11117.03,11045.31,11108.07,3301270000
