Date,Open,High,Low,Close,Volume
2014-10-30,1142.45,1159.15,1140.51,1155.77,35861500
2014-10-31,1169.17,1174.33,1166.66,1173.51,42922900
2014-11-03,1174.5,1178.4,1166.79,1170.2,35554400
2014-11-04,1166.73,1170.87,1160.89,1165.42,39562600
2014-11-05,1171.23,1172.03,1163.68,1167.07,37665900
2014-11-06,1166.02,1171.9,1163.54,1171.86,36697700
2014-11-07,1170.07,1173.4,1165.04,1173.32,37042800
2014-11-10,1173.85,1179.58,1172.61,1179.57,32849400
2014-11-11,1179.01,1180.8,1176.77,1179.96,29583200
2014-11-12,1175.33,1187.2,1174.85,1186.47,32466500
2014-11-13,1186.76,1188.67,1173.97,1175.42,34552700
2014-11-14,1175.46,1177.3,1171.97,1173.81,32271300
2014-11-17,1171.86,1175.18,1164.18,1164.23,31528900
2014-11-18,1165.16,1176.21,1165.16,1170.28,34161900
2014-11-19,1169.04,1169.08,1151.98,1157.69,33608500
2014-11-20,1153.53,1170.86,1153.21,1170.75,31282900
2014-11-21,1182.31,1184.5,1169.65,1172.42,39164200
2014-11-24,1174.83,1186.96,1174.83,1186.94,31280600
2014-11-25,1188.93,1191.76,1182.66,1186.33,33929400
2014-11-26,1186.33,1190.7,1185.37,1190.62,27452600
2014-11-28,1190.58,1190.61,1172.44,1173.23,25046400
2014-12-01,1170.55,1170.55,1154.05,1154.05,41590100
2014-12-02,1156.27,1171.44,1156.26,1168.45,36866500
2014-12-03,1168.54,1181.89,1168.03,1179.01,36126800
2014-12-04,1177.77,1178.01,1169.23,1173.01,34083400
2014-12-05,1172.75,1184.49,1172.75,1182.43,34196200
2014-12-08,1179.96,1188.23,1165.96,1167.21,38009900
2014-12-09,1157.38,1188.07,1153.53,1188.06,39701500
2014-12-10,1183.9,1185.03,1161.86,1161.86,41144400
2014-12-11,1166.68,1180.99,1165.13,1166.96,39179500
2014-12-12,1156.69,1163.61,1152.44,1152.44,41576500
2014-12-15,1157.72,1160.53,1138.13,1140.3,43619900
2014-12-16,1136.87,1156.94,1134.51,1139.37,49586800
2014-12-17,1141.87,1174.84,1141.34,1174.84,49123700
2014-12-18,1185.94,1192.16,1180.61,1192.16,47033800
2014-12-19,1191.48,1198.97,1187.94,1195.96,64655300
2014-12-22,1196.01,1201.88,1193.57,1201.86,33695200
2014-12-23,1205.77,1207.17,1200.38,1202.44,30439500
2014-12-24,1203.78,1208.78,1202.54,1206.78,14169800
2014-12-26,1210.88,1217.01,1210.88,1215.21,17352300
2014-12-29,1214.44,1220.81,1214.44,1219.11,24523600
