Date,Open,High,Low,Close,Volume
11-11-09,1096.04,1105.37,1093.81,1098.51,4286700000
12-11-09,1098.31,1101.97,1084.9,1087.24,4160250000
13-11-09,1087.59,1097.79,1085.33,1093.48,3792610000
16-11-09,1094.13,1113.69,1094.13,1109.3,4565850000
17-11-09,1109.22,1110.52,1102.19,1110.32,3824070000
18-11-09,1109.44,1111.1,1102.7,1109.8,4293340000
19-11-09,1106.44,1106.44,1088.4,1094.9,4178030000
20-11-09,1094.66,1094.66,1086.81,1091.38,3751230000
23-11-09,1094.86,1112.38,1094.86,1106.24,3827920000
24-11-09,1105.83,1107.56,1097.63,1105.65,3700820000
25-11-09,1106.49,1111.18,1104.75,1110.63,3036350000
27-11-09,1105.47,1105.47,1083.74,1091.49,2362910000
30-11-09,1091.07,1097.24,1086.25,1095.63,3895520000
01-12-09,1098.89,1112.28,1098.89,1108.86,4249310000
02-12-09,1109.03,1115.58,1105.29,1109.24,3941340000
03-12-09,1110.59,1117.28,1098.74,1099.92,4810030000
04-12-09,1100.43,1119.13,1096.52,1105.98,5781140000
07-12-09,1105.52,1110.72,1100.83,1103.25,4103360000
08-12-09,1103.04,1103.04,1088.61,1091.94,4748030000
09-12-09,1091.07,1097.04,1085.89,1095.95,4115410000
10-12-09,1098.69,1106.25,1098.69,1102.35,3996490000
11-12-09,1103.96,1108.5,1101.34,1106.41,3791090000
14-12-09,1107.84,1114.76,1107.84,1114.11,4548490000
15-12-09,1114.11,1114.11,1105.35,1107.93,5045100000
16-12-09,1108.61,1116.21,1107.96,1109.18,4829820000
17-12-09,1106.36,1106.36,1095.88,1096.08,7615070000
18-12-09,1097.86,1103.74,1093.88,1102.47,6325890000
21-12-09,1105.31,1117.68,1105.31,1114.05,3977340000
22-12-09,1114.51,1120.27,1114.51,1118.02,3641130000
23-12-09,1118.84,1121.58,1116,1120.59,3166870000
24-12-09,1121.08,1126.48,1121.08,1126.48,1267710000
28-12-09,1127.53,1130.38,1123.51,1127.78,2716400000
29-12-09,1128.55,1130.38,1126.08,1126.2,2491020000
30-12-09,1125.53,1126.42,1121.94,1126.42,2277300000
31-12-09,1126.6,1127.64,1114.81,1115.1,2076990000
04-01-10,1116.56,1133.87,1116.56,1132.99,3991400000
05-01-10,1132.66,1136.63,1129.66,1136.52,2491020000
06-01-10,1135.71,1139.19,1133.95,1137.14,4972660000
07-01-10,1136.27,1142.46,1131.32,1141.69,5270680000
08-01-10,1140.52,1145.39,1136.22,1144.98,4389590000
11-01-10,1145.96,1149.74,1142.02,1146.98,4255780000
12-01-10,1143.81,1143.81,1131.77,1136.22,4716160000
13-01-10,1137.31,1148.4,1133.18,1145.68,4170360000
14-01-10,1145.68,1150.41,1143.8,1148.46,3915200000
15-01-10,1147.72,1147.77,1131.39,1136.03,4758730000
19-01-10,1136.03,1150.45,1135.77,1150.23,4724830000
20-01-10,1147.95,1147.95,1129.25,1138.04,4810560000
21-01-10,1138.68,1141.58,1114.84,1116.48,6874290000
22-01-10,1115.49,1115.49,1090.18,1091.76,6208650000
25-01-10,1092.4,1102.97,1092.4,1096.78,4481390000
26-01-10,1095.8,1103.69,1089.86,1092.17,4731910000
27-01-10,1091.94,1099.51,1083.11,1097.5,5319120000
28-01-10,1096.93,1100.22,1078.46,1084.53,5452400000
29-01-10,1087.61,1096.45,1071.59,1073.87,5412850000
01-02-10,1073.89,1089.38,1073.89,1089.19,4077610000
02-02-10,1090.05,1104.73,1087.96,1103.32,4749540000
03-02-10,1100.67,1102.72,1093.97,1097.28,4285450000
04-02-10,1097.25,1097.25,1062.78,1063.11,5859690000
05-02-10,1064.12,1067.13,1044.5,1066.19,6438900000
08-02-10,1065.51,1071.2,1056.51,1056.74,4089820000
09-02-10,1060.06,1079.28,1060.06,1070.52,5114260000
10-02-10,1069.68,1073.67,1059.34,1068.13,4251450000
11-02-10,1067.1,1080.04,1060.59,1078.47,4400870000
12-02-10,1075.95,1077.81,1062.97,1075.51,4160680000
16-02-10,1079.13,1095.67,1079.13,1094.87,4080770000
17-02-10,1096.14,1101.03,1094.72,1099.51,4259230000
18-02-10,1099.03,1108.24,1097.48,1106.75,3878620000
19-02-10,1105.49,1112.42,1100.8,1109.17,3944280000
22-02-10,1110,1112.29,1105.38,1108.01,3814440000
23-02-10,1107.49,1108.58,1092.18,1094.6,4521050000
24-02-10,1095.89,1106.42,1095.5,1105.24,4168360000
25-02-10,1101.24,1103.5,1086.02,1102.94,4521130000
26-02-10,1103.1,1107.24,1097.56,1104.49,3945190000
01-03-10,1105.36,1116.11,1105.36,1115.71,3847640000
02-03-10,1117.01,1123.46,1116.51,1118.31,4134680000
03-03-10,1119.36,1125.64,1116.58,1118.79,3951320000
04-03-10,1119.12,1123.73,1116.66,1122.97,3945010000
05-03-10,1125.12,1139.38,1125.12,1138.7,4133000000
08-03-10,1138.4,1141.05,1136.77,1138.5,3774680000
09-03-10,1137.56,1145.37,1134.9,1140.45,5185570000
10-03-10,1140.22,1148.26,1140.09,1145.61,5469120000
11-03-10,1143.96,1150.24,1138.99,1150.24,4669060000
12-03-10,1151.71,1153.41,1146.97,1149.99,4928160000
15-03-10,1148.53,1150.98,1141.45,1150.51,4164110000
16-03-10,1150.83,1160.28,1150.35,1159.46,4369770000
17-03-10,1159.94,1169.84,1159.94,1166.21,4963200000
18-03-10,1166.13,1167.77,1161.16,1165.83,4234510000
19-03-10,1166.68,1169.2,1155.33,1159.9,5212410000
22-03-10,1157.25,1167.82,1152.88,1165.81,4261680000
23-03-10,1166.47,1174.72,1163.83,1174.17,4411640000
24-03-10,1172.7,1173.04,1166.01,1167.72,4705750000
25-03-10,1170.03,1180.69,1165.09,1165.73,5668900000
26-03-10,1167.58,1173.93,1161.48,1166.59,4708420000
29-03-10,1167.71,1174.85,1167.71,1173.22,4375580000
30-03-10,1173.75,1177.83,1168.92,1173.27,4085000000
31-03-10,1171.75,1174.56,1165.77,1169.43,4484340000
01-04-10,1171.23,1181.43,1170.69,1178.1,4006870000
05-04-10,1178.71,1187.73,1178.71,1187.44,3881620000
06-04-10,1186.01,1191.8,1182.77,1189.44,4086180000
07-04-10,1188.23,1189.6,1177.25,1182.45,5101430000
08-04-10,1181.75,1188.55,1175.12,1186.44,4726970000
09-04-10,1187.47,1194.66,1187.15,1194.37,4511570000
12-04-10,1194.94,1199.2,1194.71,1196.48,4607090000
13-04-10,1195.94,1199.04,1188.82,1197.3,5403580000
14-04-10,1198.69,1210.65,1198.69,1210.65,5760040000
15-04-10,1210.77,1213.92,1208.5,1211.67,5995330000
16-04-10,1210.17,1210.17,1186.77,1192.13,8108470000
19-04-10,1192.06,1197.87,1183.68,1197.52,6597740000
20-04-10,1199.04,1208.58,1199.04,1207.17,5316590000
21-04-10,1207.16,1210.99,1198.85,1205.94,5724310000
22-04-10,1202.52,1210.27,1190.19,1208.67,6035780000
23-04-10,1207.87,1217.28,1205.1,1217.28,5326060000
26-04-10,1217.07,1219.8,1211.07,1212.05,5647760000
27-04-10,1209.92,1211.38,1181.62,1183.71,7454540000
28-04-10,1184.59,1195.05,1181.81,1191.36,6342310000
29-04-10,1193.3,1209.36,1193.3,1206.78,6059410000
30-04-10,1206.77,1207.99,1186.32,1186.69,6048260000
