Date,Open,High,Low,Close,Volume
2009-11-10,6.8178,6.8178,6.8178,6.8178,0
2009-11-11,6.8167,6.8167,6.8164,6.8164,0
2009-11-12,6.8166,6.8166,6.8166,6.8166,0
2009-11-13,6.8163,6.8163,6.8163,6.8163,0
2009-11-16,6.8165,6.8165,6.8165,6.8165,0
2009-11-17,6.8178,6.8178,6.8178,6.8178,0
2009-11-18,6.8169,6.8169,6.8169,6.8169,0
2009-11-19,6.8178,6.8178,6.8178,6.8178,0
2009-11-20,6.8176,6.8176,6.8176,6.8176,0
2009-11-23,6.8183,6.8217,6.8183,6.8217,0
2009-11-24,6.8188,6.8188,6.8188,6.8188,0
2009-11-25,6.8185,6.8185,6.8185,6.8185,0
2009-11-26,6.8185,6.8185,6.8166,6.8166,0
2009-11-27,6.8185,6.8185,6.8185,6.8185,0
2009-11-30,6.8176,6.8176,6.8172,6.8172,0
2009-12-01,6.8184,6.8184,6.8184,6.8184,0
2009-12-02,6.8168,6.8168,6.8168,6.8168,0
2009-12-03,6.8167,6.8167,6.8167,6.8167,0
2009-12-04,6.8169,6.8169,6.8166,6.8166,0
2009-12-07,6.8192,6.8192,6.8188,6.8188,0
2009-12-08,6.8179,6.8179,6.8179,6.8179,0
2009-12-09,6.8184,6.8184,6.8184,6.8184,0
2009-12-10,6.8166,6.8166,6.8166,6.8166,0
2009-12-11,6.8178,6.8178,6.8178,6.8178,0
2009-12-14,6.8193,6.8193,6.8193,6.8193,0
2009-12-15,6.8186,6.8186,6.8186,6.8186,0
2009-12-16,6.8187,6.8187,6.8187,6.8187,0
2009-12-17,6.8188,6.8196,6.8188,6.8196,0
2009-12-18,6.8185,6.8185,6.8185,6.8185,0
2009-12-21,6.8184,6.8184,6.8184,6.8184,0
2009-12-22,6.8184,6.819,6.8184,6.819,0
2009-12-23,6.819,6.819,6.818,6.818,0
2009-12-24,6.8282,6.833,6.8282,6.833,0
2009-12-25,6.833,6.833,6.833,6.833,0
2009-12-28,6.8194,6.8229,6.8194,6.8199,0
2009-12-29,6.8187,6.8187,6.8187,6.8187,0
2009-12-30,6.8187,6.8187,6.8172,6.8172,0
2009-12-31,6.829,6.8305,6.8266,6.8305,0
2010-01-04,6.8169,6.8169,6.8169,6.8169,0
2010-01-05,6.817,6.817,6.817,6.817,0
2010-01-06,6.817,6.8183,6.817,6.8183,0
2010-01-07,6.8183,6.8183,6.8178,6.8178,0
2010-01-08,6.818,6.818,6.8175,6.8175,0
2010-01-11,6.8165,6.8165,6.8165,6.8165,0
2010-01-12,6.8166,6.8166,6.8166,6.8166,0
2010-01-13,6.8168,6.8168,6.8168,6.8168,0
2010-01-14,6.818,6.818,6.817,6.817,0
2010-01-15,6.817,6.817,6.817,6.817,0
2010-01-18,6.8168,6.8168,6.8168,6.8168,0
2010-01-19,6.8168,6.8168,6.8168,6.8168,0
2010-01-20,6.8173,6.8173,6.8173,6.8173,0
2010-01-21,6.8173,6.8177,6.8173,6.8177,0
2010-01-22,6.8177,6.8177,6.8169,6.817,0
2010-01-25,6.817,6.817,6.8169,6.8169,0
2010-01-26,6.817,6.817,6.8166,6.8166,0
2010-01-27,6.817,6.817,6.817,6.817,0
2010-01-28,6.8169,6.8169,6.8169,6.8169,0
2010-01-29,6.8169,6.8169,6.8169,6.8169,0
2010-02-01,6.817,6.817,6.817,6.817,0
2010-02-02,6.8183,6.8183,6.815,6.815,0
2010-02-03,6.815,6.8169,6.815,6.8169,0
2010-02-04,6.8169,6.8169,6.8169,6.8169,0
2010-02-05,6.8173,6.8185,6.8155,6.8185,0
2010-02-08,6.817,6.817,6.817,6.817,0
2010-02-09,6.8166,6.8166,6.8166,6.8166,0
2010-02-10,6.819,6.8224,6.819,6.819,0
2010-02-11,6.8209,6.824,6.8209,6.8238,0
2010-02-12,6.8235,6.8235,6.82,6.8235,0
2010-02-15,6.8234,6.8234,6.8234,6.8234,0
2010-02-16,6.8234,6.8234,6.8234,6.8234,0
2010-02-17,6.8234,6.8234,6.8234,6.8234,0
2010-02-18,6.8234,6.8234,6.8234,6.8234,0
2010-02-19,6.8191,6.8191,6.8191,6.8191,0
2010-02-22,6.8179,6.8179,6.8179,6.8179,0
2010-02-23,6.8213,6.8213,6.8182,6.8182,0
2010-02-24,6.8171,6.8171,6.817,6.817,0
2010-02-25,6.8171,6.8171,6.8169,6.8169,0
2010-02-26,6.8167,6.8167,6.8167,6.8167,0
2010-03-01,6.8164,6.8164,6.8164,6.8164,0
2010-03-02,6.8175,6.8175,6.8175,6.8175,0
2010-03-03,6.8159,6.8159,6.8159,6.8159,0
2010-03-04,6.8166,6.8166,6.8166,6.8166,0
2010-03-05,6.8178,6.8178,6.8165,6.8165,0
2010-03-08,6.817,6.817,6.817,6.817,0
2010-03-09,6.817,6.8174,6.817,6.8174,0
2010-03-10,6.8161,6.8161,6.8161,6.8161,0
2010-03-11,6.8162,6.8162,6.8162,6.8162,0
2010-03-12,6.8154,6.8154,6.8154,6.8154,0
2010-03-15,6.8165,6.8165,6.8161,6.8161,0
2010-03-16,6.816,6.8161,6.8159,6.816,0
2010-03-17,6.8159,6.817,6.8159,6.817,0
2010-03-18,6.817,6.8175,6.817,6.8175,0
2010-03-19,6.8165,6.8165,6.8165,6.8165,0
2010-03-22,6.8168,6.8169,6.8167,6.8168,0
2010-03-23,6.8168,6.8168,6.8166,6.8166,0
2010-03-24,6.8171,6.8171,6.8171,6.8171,0
2010-03-25,6.8171,6.8174,6.8171,6.8174,0
2010-03-26,6.8192,6.8192,6.817,6.817,0
2010-03-29,6.817,6.817,6.8167,6.8167,0
2010-03-30,6.8167,6.8167,6.8161,6.8161,0
2010-03-31,6.8163,6.8163,6.8159,6.8159,0
2010-04-01,6.8162,6.8164,6.8162,6.8164,0
2010-04-02,6.8164,6.8164,6.8164,6.8164,0
2010-04-05,6.8164,6.8164,6.8164,6.8164,0
2010-04-06,6.8164,6.8164,6.816,6.816,0
2010-04-07,6.8154,6.8154,6.8154,6.8154,0
2010-04-08,6.8154,6.8155,6.8154,6.8155,0
2010-04-09,6.814,6.814,6.8134,6.8134,0
2010-04-12,6.8148,6.8159,6.8148,6.8159,0
2010-04-13,6.8159,6.8161,6.8159,6.8161,0
2010-04-14,6.8159,6.8159,6.8159,6.8159,0
2010-04-15,6.8158,6.8158,6.8158,6.8158,0
2010-04-16,6.8161,6.8161,6.8161,6.8161,0
2010-04-19,6.816,6.816,6.816,6.816,0
2010-04-20,6.8159,6.8159,6.8159,6.8159,0
2010-04-21,6.8171,6.8171,6.8171,6.8171,0
2010-04-22,6.8164,6.8164,6.8164,6.8164,0
2010-04-23,6.8169,6.821,6.8169,6.818,0
2010-04-26,6.8176,6.8176,6.8176,6.8176,0
2010-04-27,6.8166,6.8166,6.8166,6.8166,0
2010-04-28,6.8166,6.8166,6.815,6.815,0
2010-04-29,6.8158,6.8158,6.8158,6.8158,0
2010-04-30,6.816,6.816,6.816,6.816,0
2010-05-03,6.815,6.815,6.815,6.815,0
2010-05-04,6.8163,6.8163,6.8163,6.8163,0
2010-05-05,6.8171,6.8171,6.8171,6.8171,0
2010-05-06,6.8168,6.8168,6.8168,6.8168,0
2010-05-07,6.8168,6.8168,6.8157,6.8157,0
2010-05-10,6.816,6.8166,6.8158,6.8166,0
2010-05-11,6.8177,6.8177,6.8177,6.8177,0
2010-05-12,6.8176,6.8176,6.8176,6.8176,0
2010-05-13,6.8176,6.8176,6.8176,6.8176,0
2010-05-14,6.8166,6.8166,6.8166,6.8166,0
2010-05-17,6.8189,6.8189,6.8177,6.8177,0
2010-05-18,6.8176,6.8176,6.817,6.817,0
2010-05-19,6.8175,6.8175,6.8175,6.8175,0
2010-05-20,6.8177,6.8184,6.8175,6.8179,0
2010-05-21,6.8174,6.8184,6.8163,6.8163,0
2010-05-24,6.8163,6.8163,6.8163,6.8163,0
2010-05-25,6.8186,6.8216,6.8186,6.8213,0
2010-05-26,6.8212,6.8212,6.818,6.818,0
2010-05-27,6.818,6.8205,6.818,6.8205,0
2010-05-28,6.8203,6.8203,6.8203,6.8203,0
2010-05-31,6.8181,6.8181,6.8181,6.8181,0
2010-06-01,6.8183,6.8188,6.8183,6.8188,0
2010-06-02,6.8213,6.8213,6.8213,6.8213,0
2010-06-03,6.82,6.82,6.82,6.82,0
2010-06-04,6.8193,6.8193,6.8187,6.8187,0
2010-06-07,6.8206,6.8206,6.8206,6.8206,0
2010-06-08,6.8207,6.8207,6.8195,6.8195,0
2010-06-09,6.8192,6.8192,6.8192,6.8192,0
2010-06-10,6.8191,6.8191,6.8191,6.8191,0
2010-06-11,6.821,6.8223,6.821,6.8223,0
2010-06-14,6.8233,6.8233,6.8233,6.8233,0
2010-06-15,6.8233,6.8233,6.8233,6.8233,0
2010-06-16,6.8233,6.8233,6.8233,6.8233,0
2010-06-17,6.8202,6.8202,6.8193,6.8193,0
2010-06-18,6.8186,6.8186,6.8186,6.8186,0
2010-06-21,6.7933,6.7998,6.7871,6.7871,0
2010-06-22,6.8121,6.8121,6.794,6.802,0
2010-06-23,6.8004,6.8004,6.8004,6.8004,0
2010-06-24,6.8039,6.8039,6.791,6.791,0
2010-06-25,6.791,6.791,6.778,6.7822,0
2010-06-28,6.781,6.7841,6.781,6.7841,0
2010-06-29,6.788,6.789,6.785,6.789,0
2010-06-30,6.7788,6.7788,6.772,6.772,0
2010-07-01,6.773,6.773,6.771,6.771,0
2010-07-02,6.7628,6.7653,6.7616,6.7616,0
2010-07-05,6.7645,6.7664,6.7595,6.7664,0
2010-07-06,6.7657,6.7707,6.7635,6.7705,0
2010-07-07,6.768,6.768,6.768,6.768,0
2010-07-08,6.7659,6.769,6.7656,6.7656,0
2010-07-09,6.7635,6.7638,6.7605,6.7638,0
2010-07-12,6.7617,6.7617,6.7617,6.7617,0
2010-07-13,6.7655,6.7685,6.7623,6.7623,0
2010-07-14,6.7623,6.7631,6.7623,6.7631,0
2010-07-15,6.7654,6.7657,6.7624,6.7655,0
2010-07-16,6.7655,6.7655,6.7646,6.7646,0
2010-07-19,6.769,6.769,6.769,6.769,0
2010-07-20,6.769,6.769,6.7652,6.7685,0
2010-07-21,6.7682,6.7685,6.7652,6.7685,0
2010-07-22,6.7681,6.7681,6.7681,6.7681,0
2010-07-23,6.7665,6.7695,6.7665,6.7695,0
2010-07-26,6.7696,6.7696,6.7696,6.7696,0
2010-07-27,6.7675,6.7707,6.7675,6.7676,0
2010-07-28,6.7695,6.7695,6.7683,6.7683,0
2010-07-29,6.767,6.767,6.767,6.767,0
2010-07-30,6.7652,6.7652,6.7652,6.7652,0
2010-08-02,6.7627,6.7643,6.7627,6.7643,0
2010-08-03,6.7637,6.7637,6.7637,6.7637,0
2010-08-04,6.763,6.763,6.763,6.7637,0
2010-08-05,6.7647,6.7647,6.7615,6.763,0
2010-08-06,6.759,6.759,6.7583,6.7615,0
2010-08-09,6.7555,6.7555,6.7555,6.7583,0
2010-08-10,6.763,6.763,6.763,6.7555,0
2010-08-11,6.7637,6.7637,6.7637,6.763,0
2010-08-12,6.764,6.7748,6.764,6.7637,0
2010-08-13,6.7776,6.7875,6.7776,6.7748,0
2010-08-16,6.7935,6.7962,6.7929,6.786,0
2010-08-17,6.7846,6.7856,6.782,6.7941,0
2010-08-18,6.7791,6.7834,6.7791,6.7823,0
2010-08-19,6.7811,6.7811,6.78,6.78,0
2010-08-20,6.7785,6.7808,6.7775,6.78,0
2010-08-23,6.7885,6.79,6.7882,6.7808,0
2010-08-24,6.79,6.7901,6.7865,6.79,0
2010-08-25,6.7895,6.7895,6.7895,6.7869,0
2010-08-26,6.7897,6.7902,6.7897,6.7895,0
2010-08-27,6.7882,6.7884,6.788,6.7902,0
2010-08-30,6.7915,6.7981,6.7884,6.788,0
2010-08-31,6.7989,6.8037,6.7987,6.7933,0
2010-09-01,6.8026,6.8026,6.7993,6.7988,0
2010-09-02,6.8055,6.8055,6.796,6.8009,0
2010-09-03,6.793,6.7972,6.7922,6.796,0
2010-09-06,6.777,6.777,6.777,6.7933,0
2010-09-07,6.7773,6.7814,6.7773,6.777,0
2010-09-08,6.7867,6.7867,6.7867,6.7811,0
2010-09-09,6.777,6.7776,6.7728,6.7867,0
2010-09-10,6.7571,6.7608,6.7571,6.7728,0
2010-09-13,6.7513,6.7551,6.7497,6.7606,0
2010-09-14,6.7364,6.7364,6.736,6.7497,0
2010-09-15,6.7272,6.7334,6.7272,6.736,0
2010-09-16,6.7182,6.7213,6.7145,6.7295,0
2010-09-17,6.7166,6.7169,6.7135,6.7145,0
2010-09-20,6.7072,6.7072,6.7007,6.7169,0
2010-09-21,6.6937,6.6967,6.6905,6.7038,0
2010-09-22,6.694,6.694,6.694,6.6967,0
2010-09-23,6.694,6.694,6.694,6.694,0
2010-09-24,6.694,6.694,6.694,6.694,0
2010-09-27,6.6883,6.6883,6.6793,6.694,0
2010-09-28,6.6832,6.6832,6.6809,6.6823,0
2010-09-29,6.6746,6.6784,6.6746,6.6809,0
2010-09-30,6.6809,6.6831,6.674,6.6784,0
2010-10-01,6.68,6.68,6.68,6.6831,0
2010-10-04,6.68,6.68,6.68,6.68,0
2010-10-05,6.68,6.68,6.68,6.68,0
2010-10-06,6.68,6.6818,6.68,6.68,0
2010-10-07,6.68,6.68,6.68,6.6818,0
2010-10-08,6.6627,6.6659,6.662,6.68,0
2010-10-11,6.6617,6.6617,6.655,6.662,0
2010-10-12,6.661,6.6645,6.661,6.659,0
2010-10-13,6.6595,6.663,6.653,6.6645,0
2010-10-14,6.6428,6.6434,6.6428,6.656,0
2010-10-15,6.6336,6.6336,6.631,6.6434,0
2010-10-18,6.6358,6.636,6.6342,6.631,0
2010-10-19,6.637,6.6373,6.6346,6.6342,0
2010-10-20,6.6346,6.6441,6.6346,6.6346,0
2010-10-21,6.6353,6.6388,6.6353,6.6405,0
2010-10-22,6.6431,6.649,6.6431,6.6388,0
2010-10-25,6.6459,6.6482,6.6445,6.649,0
2010-10-26,6.651,6.6547,6.651,6.6482,0
2010-10-27,6.6692,6.6755,6.669,6.6515,0
2010-10-28,6.6775,6.6805,6.6765,6.6694,0
2010-10-29,6.6667,6.6667,6.6607,6.6765,0
2010-11-01,6.6692,6.6829,6.6685,6.6607,0
2010-11-02,6.675,6.675,6.6679,6.6829,0
2010-11-03,6.665,6.6654,6.662,6.6686,0
2010-11-04,6.6652,6.6743,6.6521,6.6652,0
2010-11-05,6.6525,6.6525,6.6428,6.6523,0
2010-11-08,6.6615,6.6725,6.6583,6.6458,0
2010-11-09,6.657,6.6766,6.63,6.6712,0
2010-11-10,6.6309,6.6309,6.6245,6.6335,0
2010-11-11,6.6152,6.6152,6.612,6.6245,0
2010-11-12,6.6307,6.6356,6.6281,6.615,0
2010-11-15,6.6282,6.6385,6.6282,6.6282,0
2010-11-16,6.6366,6.6366,6.6264,6.6331,0
2010-11-17,6.6341,6.6386,6.631,6.6295,0
2010-11-18,6.6281,6.6285,6.622,6.6333,0
2010-11-19,6.6289,6.6321,6.6259,6.6234,0
2010-11-22,6.6321,6.6323,6.6311,6.628,0
2010-11-23,6.6406,6.6406,6.6335,6.6323,0
2010-11-24,6.6399,6.644,6.6399,6.6343,0
2010-11-25,6.6402,6.6402,6.6395,6.644,0
2010-11-26,6.6493,6.658,6.6491,6.6395,0
2010-11-29,6.6598,6.66,6.6505,6.658,0
2010-11-30,6.6552,6.6573,6.6552,6.6505,0
2010-12-01,6.6534,6.657,6.6532,6.6571,0
2010-12-02,6.6546,6.6546,6.6504,6.6532,0
2010-12-03,6.6499,6.6533,6.649,6.6513,0
2010-12-06,6.638,6.638,6.638,6.6533,0
2010-12-07,6.6375,6.6375,6.6344,6.638,0
2010-12-08,6.6553,6.6553,6.6453,6.6357,0
2010-12-09,6.6464,6.6464,6.6432,6.6513,0
2010-12-10,6.6407,6.6473,6.6406,6.645,0
2010-12-13,6.6517,6.6564,6.6517,6.6473,0
2010-12-14,6.6453,6.648,6.6385,6.6564,0
2010-12-15,6.645,6.6481,6.645,6.645,0
2010-12-16,6.6526,6.656,6.6526,6.645,0
2010-12-17,6.655,6.655,6.646,6.656,0
2010-12-20,6.6653,6.6681,6.6611,6.646,0
2010-12-21,6.6511,6.6526,6.648,6.6648,0
2010-12-22,6.6485,6.6485,6.636,6.6485,0
2010-12-23,6.6331,6.6375,6.6331,6.636,0
2010-12-24,6.6375,6.6375,6.6375,6.6375,0
2010-12-27,6.6195,6.6224,6.619,6.6375,0
2010-12-28,6.616,6.616,6.616,6.6224,0
2010-12-29,6.6124,6.6124,6.6124,6.616,0
2010-12-30,6.5952,6.5952,6.5916,6.6124,0
2010-12-31,6.5952,6.5952,6.5916,6.6124,0
2011-01-03,6.58,6.58,6.58,6.5916,0
2011-01-04,6.5988,6.6,6.597,6.58,0
2011-01-05,6.6112,6.6112,6.5775,6.597,0
2011-01-06,6.6134,6.6165,6.6134,6.5775,0
2011-01-07,6.6209,6.6209,6.6175,6.6165,0
2011-01-10,6.623,6.626,6.623,6.6175,0
2011-01-11,6.613,6.613,6.61,6.626,0
2011-01-12,6.61,6.61,6.5942,6.61,0
2011-01-13,6.5915,6.6024,6.5915,6.5942,0
2011-01-14,6.5914,6.5944,6.5792,6.5957,0
2011-01-17,6.5817,6.5856,6.5817,6.5792,0
2011-01-18,6.5746,6.5746,6.5746,6.5833,0
2011-01-19,6.5727,6.5727,6.5727,6.5746,0
2011-01-20,6.5766,6.5766,6.5766,6.5727,0
2011-01-21,6.5759,6.5759,6.5725,6.5766,0
2011-01-24,6.5724,6.5724,6.5724,6.5736,0
2011-01-25,6.5719,6.5726,6.5719,6.5724,0
2011-01-26,6.573,6.5734,6.572,6.5726,0
2011-01-27,6.5719,6.5719,6.5719,6.572,0
2011-01-28,6.5765,6.5765,6.5725,6.5719,0
2011-01-31,6.5798,6.5948,6.5798,6.5725,0
2011-02-01,6.5813,6.5848,6.5813,6.5948,0
2011-02-02,6.5485,6.5485,6.5485,6.5848,0
2011-02-03,6.5485,6.5485,6.5485,6.5485,0
2011-02-04,6.5485,6.5485,6.5485,6.5485,0
2011-02-07,6.5485,6.5526,6.5485,6.5485,0
2011-02-08,6.5445,6.5445,6.5415,6.5526,0
2011-02-09,6.574,6.5802,6.574,6.5445,0
2011-02-10,6.5777,6.5777,6.5745,6.5802,0
2011-02-11,6.5828,6.5828,6.5798,6.5745,0
2011-02-14,6.5853,6.5853,6.5853,6.5798,0
2011-02-15,6.5814,6.5814,6.5814,6.5853,0
2011-02-16,6.5755,6.5786,6.5755,6.5814,0
2011-02-17,6.5771,6.5771,6.57,6.5786,0
2011-02-18,6.5655,6.5655,6.5655,6.5737,0
2011-02-21,6.5568,6.5599,6.5568,6.5655,0
2011-02-22,6.5694,6.5724,6.569,6.5599,0
2011-02-23,6.569,6.569,6.566,6.569,0
2011-02-24,6.5674,6.5707,6.5645,6.566,0
2011-02-25,6.5661,6.5661,6.563,6.5645,0
2011-02-28,6.5639,6.5639,6.5595,6.563,0
2011-03-01,6.561,6.561,6.561,6.5595,0
2011-03-02,6.5627,6.5627,6.5627,6.561,0
2011-03-03,6.5596,6.5627,6.5596,6.5627,0
2011-03-04,6.559,6.559,6.559,6.5624,0
2011-03-07,6.5535,6.5566,6.5465,6.559,0
2011-03-08,6.5465,6.5573,6.5465,6.5465,0
2011-03-09,6.5596,6.5596,6.5505,6.5573,0
2011-03-10,6.5633,6.5633,6.5633,6.5505,0
2011-03-11,6.5655,6.5655,6.5655,6.5633,0
2011-03-14,6.5604,6.5604,6.5604,6.5655,0
2011-03-15,6.5609,6.5655,6.5609,6.5604,0
