Date,Open,High,Low,Close,Volume
2014-10-29,0.785,0.7858,0.7831,0.785,0
2014-10-30,0.7916,0.7963,0.7915,0.7916,0
2014-10-31,0.793,0.8006,0.793,0.7928,0
2014-11-03,0.7998,0.8037,0.7993,0.7998,0
2014-11-04,0.8005,0.8005,0.7957,0.8003,0
2014-11-05,0.7966,0.8026,0.7957,0.7966,0
2014-11-06,0.8014,0.8063,0.7979,0.8013,0
2014-11-07,0.8076,0.8088,0.8037,0.8077,0
2014-11-10,0.8025,0.8045,0.7994,0.8025,0
2014-11-11,0.8047,0.8067,0.8037,0.8045,0
2014-11-12,0.8014,0.8044,0.8,0.8015,0
2014-11-13,0.8044,0.8044,0.8006,0.8045,0
2014-11-14,0.8016,0.8065,0.8004,0.8015,0
2014-11-17,0.7986,0.8033,0.7952,0.7988,0
2014-11-18,0.8031,0.8031,0.7977,0.8033,0
2014-11-19,0.7978,0.7991,0.7955,0.7979,0
2014-11-20,0.7973,0.7996,0.7952,0.7974,0
2014-11-21,0.7972,0.806,0.7957,0.7971,0
2014-11-24,0.8081,0.8081,0.8038,0.8081,0
2014-11-25,0.8041,0.8061,0.8014,0.8043,0
2014-11-26,0.8013,0.8036,0.7984,0.8012,0
2014-11-27,0.7997,0.8022,0.7987,0.7996,0
2014-11-28,0.8027,0.8044,0.8007,0.8024,0
2014-12-01,0.804,0.805,0.7996,0.804,0
2014-12-02,0.8019,0.8067,0.8014,0.8019,0
2014-12-03,0.8072,0.8128,0.8069,0.8072,0
2014-12-04,0.8122,0.8132,0.8044,0.8119,0
2014-12-05,0.8074,0.8147,0.8069,0.8073,0
2014-12-08,0.8132,0.8165,0.8127,0.8134,0
2014-12-09,0.8121,0.8134,0.8033,0.812,0
2014-12-10,0.8073,0.8089,0.8041,0.8068,0
2014-12-11,0.8013,0.8081,0.8003,0.8017,0
2014-12-12,0.807,0.8073,0.8015,0.8068,0
2014-12-15,0.8023,0.8053,0.8013,0.8023,0
2014-12-16,0.8036,0.8041,0.7958,0.8036,0
2014-12-17,0.7991,0.8071,0.799,0.7992,0
2014-12-18,0.8105,0.8152,0.8096,0.8104,0
2014-12-19,0.8136,0.816,0.8123,0.8136,0
2014-12-22,0.818,0.8181,0.8143,0.8179,0
2014-12-23,0.818,0.822,0.8163,0.8181,0
2014-12-24,0.8213,0.8216,0.8183,0.8214,0
2014-12-25,0.8198,0.8202,0.8159,0.8198,0
2014-12-26,0.8189,0.8217,0.8181,0.819,0
2014-12-29,0.8217,0.8217,0.8183,0.8217,0
2014-12-30,0.8227,0.8247,0.8203,0.8228,0
2014-12-31,0.8222,0.8261,0.8217,0.8222,0
2015-01-01,0.8265,0.8265,0.8265,0.8265,0
2015-01-02,0.8272,0.8326,0.8272,0.8272,0
2015-01-05,0.8365,0.8411,0.835,0.8371,0
2015-01-06,0.8376,0.8413,0.8354,0.8376,0
2015-01-07,0.8421,0.8472,0.8403,0.8421,0
2015-01-08,0.8447,0.8506,0.844,0.8449,0
2015-01-09,0.8479,0.8497,0.8447,0.8477,0
2015-01-12,0.8425,0.8483,0.8423,0.8424,0
2015-01-13,0.8451,0.8506,0.8432,0.8452,0
2015-01-14,0.8491,0.8525,0.8443,0.849,0
2015-01-15,0.8486,0.8626,0.8483,0.8485,0
2015-01-16,0.8592,0.8723,0.8584,0.8593,0
2015-01-19,0.8648,0.8655,0.8592,0.8646,0
2015-01-20,0.8623,0.8644,0.8609,0.8622,0
2015-01-21,0.8661,0.8663,0.8573,0.866,0
2015-01-22,0.8608,0.8761,0.8589,0.8609,0
2015-01-23,0.8813,0.8991,0.8792,0.8813,0
2015-01-26,0.8976,0.8976,0.8862,0.8988,0
2015-01-27,0.8888,0.8908,0.8757,0.8891,0
2015-01-28,0.8797,0.8843,0.8786,0.8797,0
2015-01-29,0.8862,0.8878,0.8797,0.8864,0
2015-01-30,0.882,0.8861,0.88,0.8822,0
2015-02-02,0.8846,0.8855,0.8803,0.8842,0
2015-02-03,0.8821,0.8836,0.8734,0.8817,0
2015-02-04,0.8728,0.8769,0.8708,0.8728,0
2015-02-05,0.8836,0.8836,0.8726,0.8835,0
2015-02-06,0.8718,0.8834,0.8714,0.8717,0
2015-02-09,0.8838,0.8872,0.8803,0.8838,0
2015-02-10,0.8829,0.8869,0.8811,0.8828,0
2015-02-11,0.8834,0.8858,0.8825,0.8832,0
2015-02-12,0.8843,0.8845,0.8773,0.884,0
2015-02-13,0.8768,0.8786,0.8734,0.8769,0
