Date,Open,High,Low,Close,Volume
2014-10-29,108.12,108.233,107.948,108.112,0
2014-10-30,108.836,109.298,108.807,108.846,0
2014-10-31,109.223,112.463,109.197,109.213,0
2014-11-03,112.822,114.185,112.59,112.841,0
2014-11-04,113.687,113.768,113.197,113.648,0
2014-11-05,113.512,114.813,113.468,113.48,0
2014-11-06,114.65,115.466,114.111,114.655,0
2014-11-07,115.192,115.461,114.502,115.176,0
2014-11-10,114.525,114.749,113.876,114.533,0
2014-11-11,114.781,116.072,114.633,114.753,0
2014-11-12,115.702,115.857,114.952,115.721,0
2014-11-13,115.626,115.857,115.358,115.57,0
2014-11-14,115.83,116.809,115.75,115.824,0
2014-11-17,116.825,116.825,115.48,116.896,0
2014-11-18,116.626,116.999,116.387,116.646,0
2014-11-19,116.857,117.756,116.857,116.869,0
2014-11-20,118.139,118.969,117.776,118.148,0
2014-11-21,118.24,118.24,117.381,118.236,0
2014-11-24,117.73,118.472,117.597,117.744,0
2014-11-25,118.408,118.424,117.694,118.454,0
2014-11-26,117.82,117.882,117.444,117.801,0
2014-11-27,117.616,117.822,117.26,117.63,0
2014-11-28,117.872,118.684,117.86,117.84,0
2014-12-01,118.874,119.085,117.89,118.864,0
2014-12-02,118.342,119.286,118.22,118.308,0
2014-12-03,119.16,119.744,119.13,119.194,0
2014-12-04,119.879,120.198,119.693,119.861,0
2014-12-05,119.781,121.671,119.696,119.812,0
2014-12-08,121.595,121.669,120.68,121.561,0
2014-12-09,120.66,120.995,118.001,120.65,0
2014-12-10,119.423,119.908,118.319,119.342,0
2014-12-11,117.657,119.431,117.47,117.709,0
2014-12-12,119.002,119.178,118.09,119.007,0
2014-12-15,118.111,119.011,117.983,118.165,0
2014-12-16,117.752,117.946,115.58,117.741,0
2014-12-17,116.547,117.497,116.464,116.613,0
2014-12-18,118.744,119.288,118.263,118.796,0
2014-12-19,118.903,119.489,118.83,118.938,0
2014-12-22,119.495,119.992,119.318,119.497,0
2014-12-23,120.142,120.788,120.044,120.15,0
2014-12-24,120.676,120.699,120.277,120.69,0
2014-12-25,120.399,120.459,119.999,120.459,0
2014-12-26,120.412,120.456,120.16,120.37,0
2014-12-29,120.406,120.679,120.18,120.424,0
2014-12-30,120.62,120.664,118.897,120.632,0
2014-12-31,119.475,119.86,119.249,119.458,0
2015-01-01,119.673,119.673,119.673,119.673,0
2015-01-02,119.89,120.736,119.836,119.87,0
2015-01-05,120.389,120.608,119.411,120.434,0
2015-01-06,119.416,119.497,118.68,119.425,0
2015-01-07,118.674,119.639,118.674,118.673,0
2015-01-08,119.316,119.941,119.19,119.289,0
2015-01-09,119.764,119.843,118.779,119.792,0
2015-01-12,118.223,119.291,118.109,118.212,0
2015-01-13,118.285,118.838,117.741,118.328,0
2015-01-14,117.78,117.913,116.096,117.795,0
2015-01-15,117.439,117.934,116.299,117.39,0
2015-01-16,116.112,117.73,115.865,116.13,0
2015-01-19,117.528,117.664,116.935,117.56,0
2015-01-20,117.74,118.754,117.701,117.712,0
2015-01-21,118.628,118.747,117.194,118.649,0
2015-01-22,117.84,118.33,117.277,117.86,0
2015-01-23,118.71,118.71,117.55,118.751,0
2015-01-26,117.38,118.479,117.38,117.361,0
2015-01-27,118.508,118.651,117.34,118.52,0
2015-01-28,117.818,118.243,117.566,117.775,0
2015-01-29,117.628,118.155,117.568,117.592,0
2015-01-30,118.248,118.273,117.404,118.248,0
2015-02-02,117.185,117.859,117.168,117.184,0
2015-02-03,117.602,117.72,116.896,117.575,0
2015-02-04,117.676,117.983,117.26,117.646,0
2015-02-05,117.314,117.542,117.033,117.288,0
2015-02-06,117.52,119.132,117.18,117.535,0
2015-02-09,118.957,119.033,118.446,118.97,0
2015-02-10,118.614,119.588,118.398,118.563,0
2015-02-11,119.348,120.402,119.286,119.358,0
2015-02-12,120.193,120.369,118.895,120.17,0
2015-02-13,118.881,119.184,118.438,118.916,0
2015-02-16,118.625,118.764,118.383,118.57,0
2015-02-17,118.506,119.103,118.244,118.492,0
2015-02-18,119.183,119.393,118.915,119.208,0
2015-02-19,118.724,119.155,118.482,118.689,0
2015-02-20,119.003,119.075,118.307,118.988,0
2015-02-23,119.074,119.34,118.817,119.076,0
2015-02-24,118.9,119.833,118.87,118.903,0
2015-02-25,118.845,119.04,118.62,118.892,0
2015-02-26,118.828,119.382,118.676,118.822,0
2015-02-27,119.404,119.541,119.127,119.377,0
2015-03-02,119.845,120.133,119.671,119.826,0
2015-03-03,120.198,120.198,119.416,120.204,0
2015-03-04,119.605,119.81,119.478,119.637,0
2015-03-05,119.638,120.377,119.62,119.651,0
2015-03-06,120.066,121.267,119.898,120.045,0
2015-03-09,120.71,121.249,120.606,120.739,0
2015-03-10,121.427,121.996,120.96,121.408,0
2015-03-11,121.06,121.61,121.026,121.038,0
2015-03-12,121.445,121.653,120.723,121.411,0
2015-03-13,121.302,121.555,121.167,121.318,0
2015-03-16,121.33,121.41,121.08,121.343,0
2015-03-17,121.373,121.507,121.145,121.367,0
2015-03-18,121.289,121.398,120.78,121.28,0
2015-03-19,120.079,120.972,119.698,120.064,0
2015-03-20,120.74,121.179,120.258,120.762,0
2015-03-23,120.013,120.149,119.599,120.027,0
2015-03-24,119.741,119.981,119.25,119.75,0
2015-03-25,119.77,119.812,119.248,119.791,0
2015-03-26,119.506,119.508,118.33,119.518,0
2015-03-27,119.214,119.482,118.938,119.183,0
2015-03-30,119.24,120.132,119.122,119.25,0
2015-03-31,120.029,120.33,119.797,120.013,0
2015-04-01,119.952,120.3,119.417,120.022,0
2015-04-02,119.576,119.858,119.448,119.574,0
2015-04-03,119.696,119.753,118.723,119.697,0
2015-04-06,118.854,119.163,118.832,118.823,0
2015-04-07,119.488,120.443,119.449,119.477,0
2015-04-08,120.28,120.306,119.66,120.29,0
2015-04-09,120.09,120.396,119.855,120.094,0
2015-04-10,120.55,120.616,120.066,120.55,0
2015-04-13,120.191,120.833,119.832,120.209,0
2015-04-14,120.058,120.061,119.068,120.059,0
2015-04-15,119.46,119.732,119.145,119.457,0
2015-04-16,119.141,119.459,118.79,119.143,0
2015-04-17,119.054,119.235,118.56,119.044,0
2015-04-20,118.834,119.351,118.547,118.818,0
2015-04-21,119.227,119.824,119.227,119.195,0
2015-04-22,119.641,119.938,119.35,119.633,0
2015-04-23,119.964,120.078,119.601,119.95,0
2015-04-24,119.58,119.62,118.892,119.571,0
2015-04-27,118.915,119.431,118.775,118.927,0
2015-04-28,119.132,119.183,118.78,119.126,0
2015-04-29,118.83,119.355,118.77,118.823,0
2015-04-30,118.976,119.875,118.507,118.97,0
2015-05-01,119.492,120.269,119.492,119.452,0
2015-05-04,120.132,120.271,119.998,120.136,0
2015-05-05,120.107,120.496,119.736,120.1,0
2015-05-06,119.93,120.039,119.238,119.922,0
2015-05-07,119.388,119.783,119.059,119.397,0
2015-05-08,119.716,120.219,119.626,119.709,0
2015-05-11,119.827,120.077,119.712,119.78,0
2015-05-12,120.118,120.27,119.795,120.131,0
2015-05-13,119.875,119.952,119.02,119.835,0
2015-05-14,119.196,119.326,118.89,119.16,0
2015-05-15,119.206,119.921,119.17,119.191,0
2015-05-18,119.353,119.883,119.344,119.33,0
2015-05-19,119.923,120.711,119.85,119.9,0
2015-05-20,120.662,121.376,120.662,120.652,0
2015-05-21,121.198,121.245,120.851,121.212,0
2015-05-22,121.046,121.558,120.644,121.039,0
2015-05-25,121.56,121.763,121.44,121.571,0
2015-05-26,121.644,123.311,121.644,121.6,0
2015-05-27,122.99,123.845,122.792,122.986,0
2015-05-28,123.708,124.445,123.505,123.74,0
2015-05-29,123.803,124.162,123.608,123.82,0
2015-06-01,124.245,124.664,123.888,124.193,0
2015-06-02,124.864,125.009,123.775,124.847,0
2015-06-03,124.06,124.666,123.79,124.036,0
2015-06-04,124.319,124.662,123.802,124.304,0
2015-06-05,124.359,125.822,124.359,124.38,0
2015-06-08,125.602,125.602,124.97,125.629,0
2015-06-09,124.598,124.723,123.9,124.563,0
2015-06-10,124.383,124.618,122.522,124.339,0
2015-06-11,122.92,124.07,122.871,122.866,0
2015-06-12,123.598,123.811,123.172,123.581,0
2015-06-15,123.345,123.647,123.302,123.29,0
2015-06-16,123.436,123.731,123.308,123.42,0
2015-06-17,123.444,124.29,123.35,123.439,0
2015-06-18,123.555,123.563,122.52,123.53,0
2015-06-19,123.031,123.208,122.569,123.002,0
2015-06-22,122.79,123.353,122.57,122.751,0
2015-06-23,123.414,124.167,123.368,123.379,0
2015-06-24,123.872,124.357,123.7,123.86,0
2015-06-25,123.86,123.949,123.338,123.851,0
2015-06-26,123.601,123.976,123.228,123.598,0
2015-06-29,122.466,123.179,122.348,122.612,0
2015-06-30,122.711,122.711,122.004,122.67,0
2015-07-01,122.408,123.214,122.38,122.386,0
2015-07-02,123.318,123.662,122.954,123.32,0
2015-07-03,123.054,123.17,122.601,123.059,0
2015-07-06,122.394,122.89,122.187,122.407,0
2015-07-07,122.652,122.869,122.05,122.611,0
2015-07-08,122.534,122.534,120.515,122.49,0
2015-07-09,120.901,121.56,120.58,120.862,0
2015-07-10,121.697,122.744,121.532,121.7,0
2015-07-13,122.5,123.51,122.428,122.496,0
2015-07-14,123.581,123.702,122.95,123.57,0
2015-07-15,123.33,123.962,123.265,123.32,0
2015-07-16,123.892,124.172,123.74,123.87,0
2015-07-17,124.163,124.229,123.918,124.149,0
2015-07-20,124.136,124.393,124.08,124.142,0
2015-07-21,124.287,124.473,123.774,124.294,0
2015-07-22,123.866,124.122,123.57,123.86,0
2015-07-23,124.062,124.178,123.697,124.068,0
2015-07-24,123.877,124.09,123.6,123.876,0
2015-07-27,123.76,123.773,123.0,123.763,0
2015-07-28,123.27,123.79,123.075,123.24,0
2015-07-29,123.567,123.899,123.329,123.576,0
2015-07-30,123.959,124.564,123.959,123.94,0
2015-07-31,124.073,124.37,123.514,124.071,0
2015-08-03,124.042,124.268,123.914,124.04,0
2015-08-04,123.943,124.102,123.814,123.945,0
2015-08-05,124.308,124.999,124.029,124.274,0
2015-08-06,124.784,124.941,124.571,124.73,0
2015-08-07,124.755,125.031,124.125,124.734,0
2015-08-10,124.35,124.777,124.28,124.3,0
2015-08-11,124.616,125.052,124.58,124.613,0
2015-08-12,125.08,125.272,123.819,125.07,0
2015-08-13,124.299,124.617,124.1,124.255,0
2015-08-14,124.384,124.518,124.048,124.363,0
2015-08-17,124.378,124.566,124.23,124.35,0
2015-08-18,124.434,124.5,124.19,124.438,0
2015-08-19,124.393,124.464,124.07,124.371,0
2015-08-20,123.922,124.124,123.497,123.897,0
2015-08-21,123.46,123.487,122.02,123.42,0
2015-08-24,121.744,121.917,116.505,121.732,0
2015-08-25,118.832,120.311,118.7,118.884,0
2015-08-26,118.658,119.889,118.658,118.54,0
