,Date,Signal,Open,High,Low,Close,Volume,NYSE_Close,RUSS_Close,NASDAQ_Close,SP_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
0,11-11-09,2,10247.42,10341.97,10246.14,10291.26,166920000,7155.36,592.71,2166.9,1098.51,5266.8,1117.3,9871.68,6.8164,0.6674,0.6033,89.91
1,12-11-09,1,10289.82,10321.64,10171.24,10197.47,183810000,7063.05,580.32,2149.02,1087.24,5276.5,1103.6,9804.49,6.8166,0.6731,0.6029,90.28
2,13-11-09,1,10197.85,10305.69,10192.03,10270.47,167280000,7119.89,586.28,2167.88,1093.48,5296.4,1118.65,9770.31,6.8163,0.6707,0.5997,89.66
3,16-11-09,1,10267.53,10434.24,10267.45,10406.96,202570000,7237.1,602.87,2197.85,1109.3,5382.7,1139.3,9791.18,6.8165,0.6674,0.5939,89.01
4,17-11-09,2,10404.77,10438.17,10361.99,10437.42,158320000,7234.06,602.34,2203.78,1110.32,5345.9,1141.38,9729.93,6.8178,0.6722,0.5944,89.23
5,18-11-09,2,10426.27,10432.66,10360.1,10426.31,166340000,7226.71,600.15,2193.14,1109.8,5342.1,1145.6,9676.8,6.8169,0.6687,0.5974,89.398
6,19-11-09,2,10425.33,10425.33,10256.11,10332.44,196250000,7117.64,585.68,2156.82,1094.9,5267.7,1144.6,9549.47,6.8178,0.6704,0.6004,88.9
7,20-11-09,1,10327.91,10342.72,10271.68,10318.16,230430000,7084.47,584.68,2146.04,1091.38,5251.4,1150.6,9497.68,6.8176,0.6728,0.6053,88.83
8,23-11-09,2,10320.13,10495.61,10320.05,10450.95,182350000,7186.33,594.81,2176.01,1106.24,5355.5,1166,,6.8217,0.6684,0.6021,88.9
9,24-11-09,1,10451.25,10453.97,10359.58,10433.71,163750000,7170.26,592.58,2169.18,1105.65,5324,1169.41,9401.58,6.8188,0.6682,0.603,88.593
10,25-11-09,2,10432.96,10481.48,10420.94,10464.4,130080000,7232.12,592.19,2176.05,1110.63,5364.8,1191.66,9441.64,6.8185,0.661,0.5986,87.36
11,27-11-09,1,10452.23,10452.23,10231.25,10309.92,130290000,7070.09,577.21,2138.44,1091.49,5245.7,1177.63,9081.52,6.8185,0.6671,0.6058,86.48
12,30-11-09,1,10309.77,10364.34,10263.29,10344.84,223580000,7092.36,579.73,2144.6,1095.63,5190.7,1179.63,9345.55,6.8172,0.6649,0.6076,86.25
13,01-12-09,2,10343.82,10501.28,10343.44,10471.58,190220000,7212.08,589.2,2175.81,1108.86,5312.2,1196.51,9572.2,6.8184,0.6627,0.6015,86.65
14,02-12-09,2,10470.44,10513.52,10421.47,10452.68,159500000,7222.42,596.09,2185.03,1109.24,5327.4,1215.85,9608.94,6.8168,0.6636,0.6002,87.56
15,03-12-09,1,10455.63,10507.63,10350.05,10366.15,243970000,7157.05,588.78,2173.14,1099.92,5313,1207.45,9977.67,6.8167,0.6638,0.6039,88.259
16,04-12-09,1,10368.57,10516.7,10311.81,10388.9,460660000,7182.71,602.79,2194.35,1105.98,5322.4,1161.43,10022.59,6.8166,0.6731,0.6067,90.52
17,07-12-09,2,10386.86,10443.16,10360.18,10390.11,196580000,7155.73,603.56,2189.61,1103.25,5310.7,1158.1,10167.6,6.8188,0.6738,0.6073,89.29
18,08-12-09,1,10385.42,10385.65,10249.84,10285.97,221770000,7056.26,597.7,2172.99,1091.94,5223.1,1128.4,10140.47,6.8179,0.6804,0.6154,88.38
19,09-12-09,1,10282.85,10342.27,10235.63,10337.05,188610000,7067.62,598.03,2183.73,1095.95,5203.9,1128.6,10004.72,6.8184,0.6785,0.6142,88.09
20,10-12-09,1,10336,10444.6,10335.77,10405.83,195910000,7104.5,595.38,2190.86,1102.35,5244.4,1131.03,9862.82,6.8166,0.6789,0.6142,88.23
21,11-12-09,1,10403.41,10484.05,10400.08,10471.5,179970000,7125.12,600.37,2190.31,1106.41,5261.6,1115.38,10107.87,6.8178,0.684,0.6153,89.09
22,14-12-09,2,10471.28,10514.66,10471.28,10501.05,154360000,7186.49,609.79,2212.1,1114.11,5315.3,1126.78,10105.68,6.8193,0.6823,0.6131,88.69
23,15-12-09,2,10499.31,10499.31,10426.69,10452,187560000,7141.44,606.31,2201.05,1107.93,5285.8,1125.1,10083.48,6.8186,0.6877,0.6146,89.511
24,16-12-09,2,10449.81,10509.97,10427.59,10441.12,208310000,7180.77,611.21,2206.91,1109.18,5320.3,1137.9,10177.41,6.8187,0.6884,0.6124,89.85
25,17-12-09,1,10439.99,10440.06,10307.96,10308.26,198860000,7063.75,604.25,2180.05,1096.08,5217.6,1098.9,10163.8,6.8196,0.697,0.6187,89.64
26,18-12-09,1,10309.39,10372.35,10263.9,10328.89,480080000,7086.19,610.57,2211.69,1102.47,5196.8,1113.2,10142.05,6.8185,0.6969,0.6194,90.44
27,21-12-09,1,10330.1,10458.05,10329.8,10414.14,164470000,7147.15,618.6,2237.66,1114.05,5294,1093.45,10183.47,6.8184,0.6999,0.6228,91.057
28,22-12-09,1,10414.67,10479.82,10414.59,10464.93,135080000,7184.18,623.6,2252.67,1118.02,5328.7,1083.9,10378.03,6.819,0.7015,0.6262,91.805
29,23-12-09,1,10464.32,10492.06,10437.8,10466.44,112460000,7217.2,630.98,2269.64,1120.59,5372.4,1087.65,,6.818,0.6975,0.6262,91.64
30,24-12-09,1,10467.12,10522.06,10461.68,10520.09,52670000,7255,634.07,2285.69,1126.48,5402.4,1105.5,10536.92,6.833,0.6952,0.626,91.444
31,28-12-09,2,10517.91,10551.61,10506.34,10547.08,102010000,7261.24,633.75,2291.08,1127.78,,1107.1,10634.23,6.8199,0.6956,0.6249,91.69
32,29-12-09,1,10547.83,10580.33,10544.28,10545.41,92890000,7252.19,633.18,2288.4,1126.2,5437.6,1096.83,10638.06,6.8187,0.6972,0.6288,91.97
33,30-12-09,2,10544.36,10550.7,10505.66,10548.51,110160000,7241.24,633.41,2291.28,1126.42,5397.9,1092.9,10546.44,6.8172,0.6973,0.622,92.42
34,31-12-09,1,10548.51,10555.01,10423.13,10428.05,137940000,7184.96,625.39,2269.15,1115.1,5412.9,1096.98,,6.8305,0.698,0.618,92.91
35,04-01-10,2,10430.69,10604.97,10430.69,10583.96,179780000,7326.74,640.1,2308.42,1132.99,5500.3,1121.28,10654.79,6.8169,0.6933,0.6206,92.495
36,05-01-10,1,10584.56,10584.56,10522.52,10572.02,188540000,7354.87,638.49,2308.71,1136.52,5522.5,1118.05,10681.83,6.817,0.6961,0.6254,91.585
37,06-01-10,1,10564.72,10594.99,10546.55,10573.68,186040000,7377.7,637.95,2301.09,1137.14,5530,1138.25,10731.45,6.8183,0.6942,0.6241,92.356
38,07-01-10,1,10571.11,10612.37,10505.21,10606.86,217390000,7393.93,641.97,2300.05,1141.69,5526.7,1131.75,10681.66,6.8178,0.6984,0.6276,93.39
39,08-01-10,1,10606.4,10619.4,10554.33,10618.19,172710000,7425.35,644.56,2317.17,1144.98,5534.2,1138.23,10798.32,6.8175,0.6939,0.6241,92.66
40,11-01-10,2,10620.31,10676.23,10591.59,10663.99,182050000,7449.05,643.99,2312.41,1146.98,5538.1,1151.85,,6.8165,0.6891,0.6206,92.092
41,12-01-10,1,10662.86,10663.08,10568.84,10627.26,256050000,7370.45,635.5,2282.31,1136.22,5498.7,1128.48,10879.14,6.8166,0.6908,0.6191,91.08
42,13-01-10,1,10628.09,10709.26,10614.49,10680.77,202810000,7430.14,643.56,2307.9,1145.68,5473.5,1138.18,10735.03,6.8168,0.6885,0.614,91.433
43,14-01-10,2,10680.16,10723.77,10666.86,10710.55,201320000,7448.52,646.43,2316.74,1148.46,5498.2,1142.75,10907.68,6.817,0.6897,0.6122,91.267
44,15-01-10,1,10706.99,10709.94,10561.06,10609.65,362930000,7356.79,637.96,2287.99,1136.03,5455.4,1130.93,10982.1,6.817,0.6949,0.6146,90.75
45,19-01-10,2,10608.37,10729.89,10591.97,10725.43,192150000,7443.68,649.15,2320.4,1150.23,5513.1,1138.35,10764.9,6.8168,0.7002,0.6114,91.199
46,20-01-10,2,10719.69,10719.92,10517.3,10603.15,203270000,7329.83,639.61,2291.25,1138.04,5420.8,1111.3,10737.52,6.8173,0.7087,0.6136,91.192
47,21-01-10,2,10603.91,10614.94,10374.69,10389.88,304290000,7174.46,628.36,2265.7,1116.48,5335.1,1094.05,10868.41,6.8177,0.7094,0.6171,90.393
48,22-01-10,1,10389.58,10389.58,10157.64,10172.98,323620000,7030.61,617.12,2205.29,1091.76,5303,1093.23,10590.55,6.817,0.7072,0.6207,89.81
49,25-01-10,2,10175.1,10256.87,10171.77,10196.86,215330000,7073.13,618.11,2210.8,1096.78,5260.3,1098.4,10512.69,6.8169,0.7067,0.6154,90.415
