Date,Signal,Open,High,Low,Close,Volume,RUSS_Close,NYSE_Close,NASDAQ_Close,SP_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
30-10-14,1,16968.14,17223.96,16920.76,17195.42,80180000,1155.77,10712.19,4566.14,1994.65,6463.6,1198.85,15658.2,6.1012,0.7916,0.6248,108.846
31-10-14,2,17208.78,17395.54,17208.78,17390.52,121610000,1173.51,10845,4630.74,2018.05,6546.5,1172.94,16413.76,6.1045,0.7928,0.625,109.213
03-11-14,1,17390.9,17410.65,17339.85,17366.24,80030000,1170.2,10808.67,4638.91,2017.81,6488,1165.63,,6.1027,0.7998,0.626,112.841
04-11-14,1,17368.81,17397.23,17278.36,17383.84,81390000,1165.42,10758.07,4623.64,2012.1,6454,1168.39,16862.47,6.1083,0.8003,0.6258,113.648
05-11-14,1,17385.76,17486.59,17385.76,17484.53,76030000,1167.07,10824.07,4620.72,2023.57,6539.1,1140.54,16937.32,6.1053,0.7966,0.6248,113.48
06-11-14,1,17491.66,17560.31,17440.35,17554.47,70670000,1171.86,10843.54,4638.47,2031.21,6551.2,1141.92,16792.48,6.104,0.8013,0.6264,114.655
07-11-14,1,17558.58,17575.33,17493.37,17573.93,82860000,1173.32,10864.58,4632.53,2031.92,6567.2,1177.97,16880.38,6.102,0.8077,0.6313,115.176
10-11-14,1,17568.98,17621.87,17547.51,17613.74,71430000,1179.57,10892.56,4651.62,2038.26,6611.3,1151.47,16780.53,6.1128,0.8025,0.6295,114.533
11-11-14,2,17615.64,17638.21,17584.94,17614.9,52880000,1179.96,10907.53,4660.56,2039.68,6627.4,1164.33,17124.11,6.1095,0.8045,0.6308,114.753
12-11-14,1,17604.75,17626.71,17536.17,17612.2,75980000,1186.47,10884.03,4675.14,2038.25,6611,1162.6,17197.05,6.1145,0.8015,0.6279,115.721
