Model,%age correct,feature excluded,# of years,comments
AdaBoost Classifier,54.40%,Date,5,"Preliminary, 80/20 randomly sliced"
Random Forest Classifier,50.80%,Date,5,"Preliminary, 80/20 randomly sliced"
SVM,54.80%,Date,5,"Preliminary, 80/20 randomly sliced"
Logistice Regression,55.40%,Date,5,"Preliminary, 80/20 randomly sliced"
"ARIMA(2,1,2)",54.60%,NA,5,NA
AdaBoost Classifier,53.00%,Date,10,"Preliminary, 80/20 randomly sliced"
Random Forest Classifier,50.60%,Date,10,"Preliminary, 80/20 randomly sliced"
SVM,53.00%,Date,10,"Preliminary, 80/20 randomly sliced"
KNN,52.6,Date,10,"Preliminary, 80/20 randomly sliced"
Gradient Boost,53,Date,10,"Preliminary, 80/20 randomly sliced"
Logistice Regression,54.60%,Date,5,"first order differencing, 80/20 ordered slice"
Random Forest Classifier,55.00%,Date,5,"first order differencing, 80/20 ordered slice"
AdaBoost Classifier,55.30%,Date,5,"first order differencing, 80/20 ordered slice"
SVM,55.30%,Date,5,"first order differencing, 80/20 ordered slice"
KNN,53.80%,Date,5,"first order differencing, 80/20 ordered slice"
