Model,%age correct,feature excluded,# of years,comments
Adaboost Classifier,51.00%,Date,10,"(Technical) first order differencing, 80/20 ordered slice"
SVM,55.18%,Date,10,"(Technical) first order differencing, 80/20 ordered slice"
KNN,51.99%,Date,10,"(Technical) first order differencing, 80/20 ordered slice"
Random Forest Classifier,53.78%,Date,10,"(Technical) first order differencing, 80/20 ordered slice"
Logistic Regression,50.80%,Date,10,"(Technical) first order differencing, 80/20 ordered slice"
Gradient Boosting,54.98%,Date,10,"(Technical) first order differencing, 80/20 ordered slice"
FNN,55.18%,Date,10,"(Technical) first order differencing, 80/20 ordered slice"
LSTM Regressor,54.98%,Date,10,"(Technical) first order differencing, 80/20 ordered slice"
Adaboost Classifier,51.99%,Date,10,"(Technical) second order differencing, 80/20 ordered slice"
SVM,55.18%,Date,10,"(Technical) second order differencing, 80/20 ordered slice"
KNN,54.98%,Date,10,"(Technical) second order differencing, 80/20 ordered slice"
Random Forest Classifier,56.37%,Date,10,"(Technical) second order differencing, 80/20 ordered slice"
Logistic Regression,51.20%,Date,10,"(Technical) second order differencing, 80/20 ordered slice"
Gradient Boosting,55.18%,Date,10,"(Technical) second order differencing, 80/20 ordered slice"
FNN,55.18%,Date,10,"(Technical) second order differencing, 80/20 ordered slice"
LSTM Regressor,53.78%,Date,10,"(Technical) second order differencing, 80/20 ordered slice"
