,Date,Signal,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
0,40128,1,10247.42,10341.97,10246.14,10291.26,166920000,-9736854.84712221,166920000,-0.0583324637378517,0,0,0,-67984064.3265939,1000,0,10291.26,10291.26,10291.26,0,0,10293.1233333333,10293.1233333333,10197.2933333333,0,0,10291.26,10291.26,1,1,0,0,0,10291.26,10291.26,0,0,0,1,1,0,-40.2414745496841,1,0,7069.82287360892,-407.222459859111,-407.222459859111,0,10294.055,10294.055,17251.2242587441,17081.913467806,4,4,0,50,50,-100,0.634158289132045,47.0833768131074,47.0833768131074,-52.9166231868925,0,10291.26,0,-40.7222459859112,0,0
1,40129,1,10289.82,10321.64,10171.24,10197.47,183810000,-129433340.219463,-16890000,-0.369039831834925,-17239539900.0001,-3896.03177193838,-3896.03177193838,-69648736.1866979,1000,0,10338.155,10150.5749999999,10244.365,0,0,10261.62,10261.62,10138.505,0,0,10197.47,10291.26,0,1,7.48182336182253,1.4963646723645,5.98545868945802,10276.8307692307,10284.3125925925,0,0,0,1,1,0,-0.00177999189360751,2.08908224231937,-66.6666666666666,7116.71787360892,-409.923616252489,-408.5730380558,-1.35057819668867,10256.605,10256.605,17251.2242587441,17081.913467806,4,8,-4,0,50,-100,0.982059639045755,15.3634393486789,31.2234080808932,-84.636560651321,0,10197.47,0,-0.911355849526696,-0.915534102155923,-0.911355849526696
2,40130,1,10197.85,10305.69,10192.03,10270.47,167280000,-65823964.8895357,150390000,-0.127070838187555,-13032257057.1429,164.429220468741,-1865.80127573482,-477666.160791845,1007.15863836814,0,10333.5037730845,10172.6295602487,10253.0666666666,0,0,10259.7677777777,10259.7677777777,10139.8044444444,0,0,10197.47,10291.26,0,0,7.43502601440013,2.68409694077163,4.7509290736285,10275.8521893491,10283.2872153635,0,0,0,1,1,0,-0.00328710799295087,3.16996858207334,-11.1059293804157,7108.01620694226,-409.42239943727,-408.85615851629,-0.566240920979623,10256.605,10256.605,17251.2242587441,17081.913467806,4,8,-4,45.5991469122414,50,-99.5668785015052,2.02994906717985,58.1210097815262,40.1892753144375,-41.8789902184737,0,10270.47,0,0.715863836814434,0.713313694780559,-0.202016079663724
3,40133,2,10267.53,10434.24,10267.45,10406.96,202570000,70481755.4773908,352960000,0.0978125336220694,-7220680434.694,8397.13587895534,1555.17777582856,3889562.65710471,1007.15863836814,0,10441.9227270666,10141.1572729333,10291.5399999999,0,0,10287.2133333333,10287.2133333333,10155.5433333333,0,0,10197.47,10406.96,1,0,-3.57445938331875,1.43238567595355,-5.00684505927231,10296.0226217569,10292.4481623736,0,0,0,1,1,0,-0.00194981170381572,4.32246077787979,124.403817582027,7069.54287360892,-407.20633183288,-408.443701845437,1.23737001255767,10302.74,10302.74,17251.2242587441,17081.913467806,16,8,8,71.6390745510482,50,-98.7569803217822,3.83392447746361,89.6273764258552,54.3706085186868,-10.3726235741447,0,10406.96,0,1.32895573425557,1.32020258259739,1.12425495031704
4,40134,2,10404.77,10438.17,10361.99,10437.42,158320000,225684401.841265,511280000,0.256780523200894,-5500236486.88055,2369.07674330469,1758.65251769759,3155450.44258449,1010.10647828726,0,10498.7940595581,10142.6379404418,10320.7159999999,0,0,10312.276,10312.276,10191.704,1,0,10197.47,10437.42,1,0,-14.5892475509499,-1.77194096942714,-12.8173065815228,10317.7760645635,10303.1868170126,0,0,0,1,1,0,0.0018177020224952,5.37651475974225,106.068749726672,7040.36687360892,-405.525791499514,-407.860119776253,2.33432827673863,10304.705,10304.705,17251.2242587441,17081.913467806,20,8,12,74.565098471006,50,-98.1296374965472,4.78524400503805,99.7190274603828,82.4891378892547,-0.280972539617127,0,10437.42,0,0.29268873907462,0.292261239543556,1.42023425702975
5,40135,2,10426.27,10432.66,10360.1,10426.31,166340000,362910316.946004,344940000,0.347202859578666,-4978493760.18334,-161.399543104475,1374.64210553718,286325.979156202,1010.10647828726,0,10518.9278237418,10157.7021762581,10338.3149999999,0,0,10327.9561111111,10327.9561111111,10215.3861111111,0,0,10197.47,10437.42,0,0,-22.1665403027891,-5.85086083609954,-16.3156794666896,10334.4735930922,10312.3070527894,0,0,0,1,1,0,0.00683681800077258,6.36117240818762,76.6509965590929,7022.76787360892,-404.512087450745,-407.302114388668,2.79002693792335,10304.705,10304.705,17251.2242587441,17081.913467806,20,8,12,71.6610138600968,50,-97.6780673091926,5.59713738747543,95.5568875735209,94.9677638199197,-4.44311242647906,5.74433333333399,10426.31,0,-0.106443929630128,-0.10650062141444,1.31227857424649
6,40136,1,10425.33,10425.33,10256.11,10332.44,196250000,343705140.252943,148690000,0.27684889951022,-6898992865.87141,-4799.38099363054,345.638255675895,-1943933.93025627,1010.10647828726,0,10504.7412396747,10170.2101888966,10337.4757142857,0,0,10329.3852380952,10329.3852380952,10208.7223809523,0,0,10197.47,10437.42,0,0,-20.3623504040569,-8.75315874969103,-11.6091916543659,10334.1607326165,10313.7983822124,0,0,0,1,1,0,0.0106831323815496,7.44726381933118,9.57986578201319,7023.60715932321,-404.560430386516,-406.910445245504,2.35001485898715,10304.705,10304.705,17251.2242587441,17081.913467806,20,8,12,52.9105062642128,50,-97.3339134537028,6.44603163313323,60.3903645150416,85.2220931829818,-39.6096354849583,22.037000000002,10332.44,0,-0.900318521125875,-0.904395879581976,0.400145366067916
7,40137,2,10327.91,10342.72,10271.68,10318.16,230430000,414806288.901592,-81740000,0.281813066540024,-6383499656.46123,-1033.39877620101,148.632965407765,-2085342.02323729,1010.10647828726,0,10492.04458142,10178.0779185799,10335.0612499999,0,0,10327.06875,10327.06875,10212.60875,0,0,10197.47,10437.42,0,0,-17.5776164332073,-10.5180502863943,-7.05956614681306,10331.6990814447,10314.1214650114,0,0,0,1,1,0,0.0132861649822574,8.44826109552818,-19.8246110037102,7026.02162360892,-404.699503755573,-406.634077559262,1.93457380368874,10304.705,10304.705,17251.2242587441,17081.913467806,20,8,12,50.7356556537819,50,-97.0580515922901,38.1933412088957,55.0406473607312,70.3292998164312,-44.9593526392687,35.9725000000016,10318.16,0,-0.138205496475185,-0.138301088357017,0.261386846702937
8,40140,1,10320.13,10495.61,10320.05,10450.95,182350000,504381727.498085,100610000,0.304896859338611,-2012391634.1096,9688.29328214979,1341.09050500051,2028294.17335034,1023.10608667207,0,10512.8963454452,10182.9792101102,10347.9377777777,0,0,10337.6392592592,10337.6392592592,10216.3903703703,0,0,10197.47,10450.95,1,0,-25.788464559373,-13.57213314099,-12.216331418383,10350.045376607,10324.2569120477,0,0,0,1,1,0,0.0174378415608843,9.54799056785422,97.4239099051165,7013.14509583115,-403.957814549231,-406.336715002592,2.37890045336132,10333.425,10333.425,17251.2242587441,17081.913467806,36,8,28,65.101147685745,50,-96.5677400412112,44.8536978249567,86.2317723587262,67.2209280781663,-13.7682276412737,37.9520000000011,10450.95,0,1.2869542631632,1.27874337863413,1.55170503903312
9,40141,2,10451.25,10453.97,10359.58,10433.71,163750000,597836675.056088,-63140000,0.328839437990829,-2128199972.09398,-60.8130992366576,1185.32343786305,2076637.33022547,1021.41835982099,119.325999999999,10521.2531887116,10191.7768112883,10356.515,0,0,10345.4506666666,10345.4506666666,10226.8876666666,0,0,10197.47,10450.95,0,0,-30.5523089367452,-16.968168300141,-13.5841406366041,10362.916857129,10332.3645481923,0,0,0,1,1,0,0.0220859202110558,10.5885660272471,78.3395177975119,7004.56787360892,-403.46376574567,-405.919082323321,2.4553165776507,10333.425,10333.425,17251.2242587441,17081.913467806,36,8,28,62.5509249772853,50,-96.1517848416227,45.8567086978453,80.9168542096984,74.0630913097186,-19.0831457903016,31.862500000001,10433.71,0,-0.164961080093217,-0.165097290699911,1.38418424954767
